director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,keywords
Barry Sonnenfeld,Michael Stuhlbarg,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,men in black 3,Nicole Scherzinger,4379 5455 9951 174915 185668 208756
Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: the battle of the five armies,James Nesbitt,417 603 604 606 611 818 12554 14643 167982 188270 234213 272783
Marc Webb,Andrew Garfield,Action Adventure Fantasy,Emma Stone,the amazing spider-man,Chris Zylka,697 1706 7002 8803 9717 33637 158124 158456 161184 163561 171556 179431 188957
Ridley Scott,William Hurt,Action Adventure Drama History,Mark Addy,robin hood,Scott Grimes,1701 2527 4147 5774 6145 9503 9727 10468 10508 11493 11525
Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: the desolation of smaug,James Nesbitt,603 604 606 611 818 3888 5774 10468 12554 41538 177912 234213 272783
Chris Weitz,Eva Green,Adventure Family Fantasy,Christopher Lee,the golden compass,Kristin Scott Thomas,392 818 1461 1706 2596 6464 6678 10400 13014 18165 208507 246466
Peter Jackson,Thomas Kretschmann,Action Adventure Drama Romance,Naomi Watts,king kong,Evan Parke,242 837 886 911 2526 5571 7035 9714 12616 161791 166958 189008 196425 209118 214548 245624
James Cameron,Kate Winslet,Drama Romance,Leonardo DiCaprio,titanic,Gloria Stuart,2984 3799 4210 4388 4953 6917 7579 9672 9673 10617 10703 14514 156395 165086 182615 182625
Anthony Russo,Scarlett Johansson,Action Adventure Sci-Fi,Robert Downey Jr.,captain america: civil war,Chris Evans,393 9663 9715 9717 156395 179430 179431 180547
Peter Berg,Alexander Skarsgård,Action Adventure Sci-Fi Thriller,Liam Neeson,battleship,Tadanobu Asano,1721 4410 11265 12354 13042 14760 14946 160855 160856 160860 160861 160865 160866 160868 160873 160875 160876 160879 160880 160881 160884 160887 179430 227329
Colin Trevorrow,Judy Greer,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,jurassic world,Omar Sy,1718 1720 1766 2041 5160 9663 10617 10685 12616 155582 158340 223059
Sam Mendes,Helen McCrory,Action Adventure Thriller,Albert Finney,skyfall,Rory Kinnear,470 4289 9740 15127 15478 156095 156395 159932 163841 185071 185077 191329
Sam Raimi,James Franco,Action Adventure Fantasy Romance,J.K. Simmons,spider-man 2,Kirsten Dunst,851 2038 5983 9663 9715 9717 13005 14760 14991 34079 156810 163074 188178 194404 206720
Shane Black,Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,iron man 3,Don Cheadle,1242 6335 8613 9715 9717 179430 180547
Tim Burton,Alan Rickman,Adventure Family Fantasy,Johnny Depp,alice in wonderland,Anne Hathaway,977 1566 2011 2860 159312 191102 246466
Brett Ratner,Kelsey Grammer,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,x-men: the last stand,Daniel Cudmore,1852 9717 10761 161271 161893 179430 256682
Dan Scanlon,Tyler Labine,Adventure Animation Comedy Family Fantasy,Steve Buscemi,monsters university,Sean Hayes,1299 3777 4298 5984 6054 6186 9675 9932 10624 12392 13160 157632 179430 207844 209386
Michael Bay,Kevin Dunn,Action Adventure Sci-Fi,Glenn Morshower,transformers: revenge of the fallen,Ramon Rodriguez,1160 1670 4630 8264 9748 9854 9951 10607 11117 14544 156395 179431
Michael Bay,Sophia Myles,Action Adventure Sci-Fi,Bingbing Li,transformers: age of extinction,Kelsey Grammer,9663 9951 10607 10891 14544 156395 166594
Sam Raimi,Mila Kunis,Adventure Family Fantasy,Tim Holmes,oz the great and powerful,James Franco,291 616 2343 3929 4662 172365 177912 246466
Marc Webb,Andrew Garfield,Action Adventure Fantasy Sci-Fi,Emma Stone,the amazing spider-man 2,B.J. Novak,1523 1706 9663 9717 13040 33637 41594
Joseph Kosinski,Olivia Wilde,Action Adventure Sci-Fi,Jeff Bridges,tron: legacy,James Frain,310 1308 2423 3222 3469 4286 4565 8469 9663 9758 10159 10987 18133 231554 236778 272676
John Lasseter,Thomas Kretschmann,Adventure Animation Comedy Family Sport,Joe Mantegna,cars 2,Eddie Izzard,830 9663 11477 12392 179431
Martin Campbell,Temuera Morrison,Action Adventure Sci-Fi,Ryan Reynolds,green lantern,Taika Waititi,849 9715 9717 33637 187056
Lee Unkrich,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Tom Hanks,toy story 3,Don Rickles,1562 3616 4290 10685 33794 158162 179431 187065 209386 209387
McG,Bryce Dallas Howard,Action Adventure Sci-Fi,Christian Bale,terminator salvation,Common,83 310 530 582 679 1373 1420 4458 4565 6092 6112 11159 12670
James Wan,Paul Walker,Action Crime Thriller,Jason Statham,furious 7,Vin Diesel,830 3428 9666 9748 33885 40870 205399
Marc Forster,Brad Pitt,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,world war z,Mireille Enos,276 586 818 3575 4565 12332 12377 17995 160381 180635 186565 188957
Bryan Singer,Peter Dinklage,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,x-men: days of future past,Hugh Jackman,1228 1852 4379 9717 10761 14527 161271 179430 206736 256682
J.J. Abrams,Bruce Greenwood,Action Adventure Sci-Fi,Benedict Cumberbatch,star trek into darkness,Noel Clarke,1612 6054 9663 9685 9882 9951 156395 161176 179569
Bryan Singer,Ewen Bremner,Adventure Fantasy,Eddie Marsan,jack the giant slayer,Ralph Brown,179411 189099
Baz Luhrmann,Elizabeth Debicki,Drama Romance,Leonardo DiCaprio,the great gatsby,Steve Bisley,818 1326 1523 3929 9398 207876
Mike Newell,Richard Coyle,Action Adventure Fantasy Romance,Jake Gyllenhaal,prince of persia: the sands of time,Reece Ritchie,1241 1965 12653 12654 12655 41645
Guillermo del Toro,Clifton Collins Jr.,Action Adventure Sci-Fi,Charlie Hunnam,pacific rim,Larry Joe Campbell,4565 8083 9880 10891 11100 12332 12354 14544 14909 156395 161791 179431 210614
Michael Bay,Lester Speight,Action Adventure Sci-Fi,Glenn Morshower,transformers: dark of the moon,Kevin Dunn,305 1612 2052 3088 10158 10244 10607 10891 15246 15247 15248 179431
Steven Spielberg,Ray Winstone,Action Adventure Fantasy,Harrison Ford,indiana jones and the kingdom of the crystal skull,Jim Broadbent,83 483 1294 1454 1547 2650 4276 4939 5566 5967 6956 9830 9951 18524 41586 176731 177163 184134 208611 240119
Peter Sohn,Jack McGraw,Adventure Animation Comedy Family Fantasy,A.J. Buckley,the good dinosaur,Peter Sohn,1720 6054 6513 9713 12026 12616 13073 14527 18330 189092
Mark Andrews,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,brave,Julie Walters,388 526 3930 4152 4393 4896 10468 14753 15161 41538 53995 162715 179430 181181 187056 189098 207372 262145
Justin Lin,Melissa Roxburgh,Action Adventure Sci-Fi Thriller,Sofia Boutella,star trek beyond,Lydia Wilson,1612 9663 9743 158449 158718 161176 264384
Andrew Stanton,Fred Willard,Adventure Animation Family Sci-Fi,John Ratzenberger,wall·e,Jeff Garlin,3700 3801 4565 9957 11239 14544 179430 179431
Brett Ratner,Dana Ivey,Action Comedy Crime Thriller,Tzi Ma,rush hour 3,Noémie Lenoir,1704
Roland Emmerich,Liam James,Action Adventure Sci-Fi,Oliver Platt,2012,Tom McCarthy,2163 4776 5096 5566 10150 10617 12332 14796 163398 230910 232318
Robert Zemeckis,Colin Firth,Animation Drama Family Fantasy,Robin Wright,a christmas carol,Gary Oldman,65 212 818 5332 8250 10594 162846 170457 180975 186933 207090 207317 207928 259213 260365
Lana Wachowski,Mila Kunis,Action Adventure Sci-Fi,Channing Tatum,jupiter ascending,Eddie Redmayne,306 9882 187056 212760
David Yates,Alexander Skarsgård,Action Adventure Drama Romance,Christoph Waltz,the legend of tarzan,Casper Crump,409 5160 5650 7347 10787
Andrew Adamson,Kiran Shah,Adventure Family Fantasy,Jim Broadbent,"the chronicles of narnia: the lion, the witch and the wardrobe",Shane Rangi,83 380 616 818 1430 1442 1990 2042 2043 3205 14643 15101 170362 179431 225029 246466
Bryan Singer,Michael Fassbender,Action Adventure Sci-Fi,Jennifer Lawrence,x-men: apocalypse,Tye Sheridan,1701 1852 9715 9717 10761 33637 155030 176217 179430 208289 256682
Christopher Nolan,Heath Ledger,Action Crime Drama Thriller,Christian Bale,the dark knight,Morgan Freeman,849 853 1308 3151 4426 4630 7002 9537 9715 9717 10044 10291 18023 33518 33637 156395 163074 255990
Pete Docter,Delroy Lindo,Adventure Animation Comedy Family,John Ratzenberger,up,Jess Harnell,965 1291 9903 9935 15162 179431 221536 263477 272475
Rob Letterman,Rainn Wilson,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,monsters vs. aliens,Stephen Colbert,9951 10891 179431
Jon Favreau,Jeff Bridges,Action Adventure Sci-Fi,Robert Downey Jr.,iron man,Jon Favreau,539 6163 8613 9715 9717 179430 180547 208630
Martin Scorsese,Christopher Lee,Adventure Drama Family Mystery,Chloë Grace Moretz,hugo,Ray Winstone,295 818 886 1507 2598 2849 4290 13014 14544 14545 18028 33490 41372 156149 163865 246466
Barry Sonnenfeld,Salma Hayek,Action Comedy Sci-Fi Western,Will Smith,wild wild west,Bai Ling,10028 163671 171636
Rob Cohen,Brendan Fraser,Action Adventure Fantasy Horror Thriller,Jet Li,the mummy: tomb of the dragon emperor,Russell Wong,478 1938 1949 2904 8873 15039 156081 163403 187511 207883 253607
David Ayer,Robin Atkin Downes,Action Adventure Comedy Sci-Fi,Will Smith,suicide squad,Ike Barinholtz,849 2095 3269 3289 9715 194404 229266
Tom Shadyac,Morgan Freeman,Comedy Family Fantasy,Jimmy Bennett,evan almighty,Steve Carell,970 1850 2587 3848 5905 6038 6150 9649 10084 18165 18330 173272 179431 210450 230910
Doug Liman,Lara Pulver,Action Adventure Sci-Fi,Tom Cruise,edge of tomorrow,Noah Taylor,563 1521 2062 2799 4565 9950 9951 10854 11109 13065 13141 14909 204318 253373
Kevin Reynolds,Rick Aviles,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,waterworld,Zakes Mokae,269 270 331 544 1852 4458 12988 175994 215299 217083
Stephen Sommers,Dennis Quaid,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,g.i. joe: the rise of cobra,Leo Howard,949 1328 1562 1576 3290 3467 6086 8570 9748 9826 10563 14601 14760 156075 191574 209493
Pete Docter,Mindy Kaling,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,inside out,Phyllis Smith,582 1360 1566 1647 6483 6513 7942 8102 10235 10937 18035 161155 163227 171831 179431 211269
Jon Favreau,Bill Murray,Adventure Drama Family Fantasy,Scarlett Johansson,the jungle book,Garry Shandling,818 2398 2526 4344 5650 10787 11477 13014 14636 230873
Jon Favreau,Scarlett Johansson,Action Adventure Sci-Fi,Robert Downey Jr.,iron man 2,Jon Favreau,1576 8613 9715 9717 9748 179430 180547
Rupert Sanders,Kristen Stewart,Action Adventure Drama Fantasy,Chris Hemsworth,snow white and the huntsman,Sam Claflin,2011 2343 2883 3205 4978 5774 8353 9758 169341 169343 173003 179411 199814
Robert Stromberg,Sharlto Copley,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,maleficent,Sam Riley,2710 3205 3289 7430 10085 10541 177895 179411 186846 186847 186849 195719
Matt Reeves,Judy Greer,Action Adventure Drama Sci-Fi,Gary Oldman,dawn of the planet of the apes,Kodi Smit-McPhee,3077 4090 4458 4565 5160 5774 9663 9720 14759 14760 15149 158025 188959
Roland Joffé,Alice Englert,Action Adventure Romance Sci-Fi,Tamsin Egerton,the lovers,Bipasha Basu,1157 4320 9840
Carl Rinsch,Cary-Hiroyuki Tagawa,Action Adventure Drama Fantasy,Keanu Reeves,47 ronin,Jin Akanishi,233 236 1462 9672 9748 18098 155198 155242 183528
Anthony Russo,Chris Evans,Action Adventure Sci-Fi,Scarlett Johansson,captain america: the winter soldier,Hayley Atwell,521 2964 5539 9715 9717 179430 179431 180547 209817
Mike Mitchell,Kathy Griffin,Adventure Animation Comedy Family Fantasy,Jon Hamm,shrek forever after,Mary Kay Place,189111
Brad Bird,Chris Bauer,Action Adventure Family Mystery Sci-Fi,Judy Greer,tomorrowland,Thomas Robinson,1436 12332 40850 156395 173276 214714 214715
Don Hall,Daniel Henney,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,big hero 6,Abraham Benrubi,380 582 779 1701 2276 6054 6513 9748 12369 12392 12446 14544 33353 41509 179430 198423 213104 215235
Rich Moore,Sarah Silverman,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,wreck-it ralph,Joe Lo Truglio,825 3977 6733 9890 10039 10547 11124 155023 158023 162936 179430 179431 185859 185861 185863 185867 185868 185876 185880 186356 226370 232789
Robert Zemeckis,Eddie Deezen,Adventure Animation Family Fantasy,Tom Hanks,the polar express,Peter Scolari,1991 5801 6150 9989 9995 33678 34154 41314 48711 188735 207317
Roland Emmerich,Sela Ward,Action Adventure Sci-Fi,Vivica A. Fox,independence day: resurgence,Judd Hirsch,9951 14909
Dean DeBlois,America Ferrera,Adventure Animation Family Fantasy,Gerard Butler,how to train your dragon,Craig Ferguson,334 1318 1395 2041 3799 4613 5331 5774 5895 6054 6253 8044 9109 12554 14643 18543 172784 192913
Jonathan Mostow,M.C. Gainey,Action Sci-Fi,Nick Stahl,terminator 3: rise of the machines,Carolyn Hennesy,83 310 312 679 1373 2650 2651 2732 2735 2736 4565 15106 192094
James Gunn,Vin Diesel,Action Adventure Sci-Fi,Bradley Cooper,guardians of the galaxy,Djimon Hounsou,9663 9715 9717 9789 9882 179430 179431 180547
Christopher Nolan,Anne Hathaway,Adventure Drama Sci-Fi,Matthew McConaughey,interstellar,Mackenzie Foy,310 1432 1612 1963 2964 3417 3801 4337 4379 4380 4565 4776 8056 9882 10084 10235 14544 14626 14760 33479 154846 156039 156395 240303 272862
Christopher Nolan,Tom Hardy,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,inception,Joseph Gordon-Levitt,90 470 490 1501 1566 1930 2887 3800 4563 9844 10084 10364 10937 12436 12670 186789 234868
Hideaki Anno,Shin'ya Tsukamoto,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,godzilla resurgence,Atsuko Maeda,211 1299 3275 6078 10588 11100 12369 14796 159099 161791 230918 264535
Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: an unexpected journey,James Nesbitt,483 603 604 606 611 818 1262 177912 189092 189093 189094 189098 189099 189102 189103 189108 189114 189115 189119 191739 272783
Rob Cohen,Vin Diesel,Action Crime Thriller,Paul Walker,the fast and the furious,Jordana Brewster,542 830 1568 8574 9666 12670 33885 179430 179431
David Fincher,Jason Flemyng,Drama Fantasy Romance,Brad Pitt,the curious case of benjamin button,Julia Ormond,2913 3588 3739 4262 9935 11612 156866 234299
Matthew Vaughn,Michael Fassbender,Action Adventure Sci-Fi,Jennifer Lawrence,x-men: first class,Oliver Platt,591 677 1852 1960 9715 9717 9950 10761 12995 181558 208731 208992 256682
Francis Lawrence,Philip Seymour Hoffman,Adventure Sci-Fi,Jennifer Lawrence,the hunger games: mockingjay - part 2,Josh Hutcherson,818 2020 2660 4565 157376 246466
Jon Turteltaub,Omar Benson Miller,Action Adventure Family Fantasy,Nicolas Cage,the sorcerer's apprentice,Robert Capron,616 657 1994 2098 2343 2795 3098 4488 4613 8504 9673 10092 10364 10821 12554 179430 193201 222347
Wolfgang Petersen,Mike Vogel,Action Adventure Drama Thriller,Jimmy Bennett,poseidon,Andre Braugher,613 657 697 793 843 1913 2283 2488 2580 2581 2583 3799 5600 9457 9714 10685 155530 189411
James Bobin,Alan Rickman,Adventure Family Fantasy,Johnny Depp,alice through the looking glass,Anne Hathaway,818 1507 2011 9663 177895 179430 179431 203699 245230
Chris Miller,Eric Idle,Adventure Animation Comedy Family Fantasy,Justin Timberlake,shrek the third,Rupert Everett,502 1647 1674 2019 2041 2052 2580 3071 3725 3799 4144 4152 4326 4375 4541 4988 5515 6093 6271 10508 12392 12554 13001 156702 179431 189111
Duncan Jones,Callum Rennie,Action Adventure Fantasy,Dominic Cooper,warcraft,Ruth Negga,282 603 606 2343 3713 9717 10442 10821 14946 41645 177912 189113 209220 211674 228295 234213
Alan Taylor,Emilia Clarke,Action Adventure Sci-Fi,J.K. Simmons,terminator genisys,Matt Smith,83 310 679 1373 2964 4379 4565 9663 14544 179431 251421
Michael Apted,Shane Rangi,Adventure Family Fantasy,Bruce Spence,the chronicles of narnia: the voyage of the dawn treader,Laura Brent,818 2343 11477 12554 13084 170362 182772 188280 207372 240119 240485 241980 246466
Michael Bay,Jaime King,Action Drama History Romance War,Jennifer Garner,pearl harbor,Mako,428 1627 1668 1956 3203 3365 3366 3800 6092 9673 155565
Michael Bay,Michael O'Neill,Action Adventure Sci-Fi,Zack Ward,transformers,Kevin Dunn,392 10466 10542 10607 14544
Oliver Stone,Angelina Jolie Pitt,Action Adventure Biography Drama History Romance War,Anthony Hopkins,alexander,Brian Blessed,347 1160 1200 1241 2857 3072 5127 10180 14704 162861 253606 264384
David Yates,Daniel Radcliffe,Adventure Family Fantasy Mystery,Robert Pattinson,harry potter and the order of the phoenix,Fiona Shaw,530 616 697 2343 3650 3737 3884 4252 5147 6152 156174 239915 246466
Mike Newell,Daniel Radcliffe,Adventure Family Fantasy Mystery,Robert Pattinson,harry potter and the goblet of fire,Rupert Grint,818 2343 3737 3884 4238 4252 6271 10629 10873 12380 13130 188178 246466
Peter Berg,Charlize Theron,Action Drama,Will Smith,hancock,Eddie Marsan,334 567 2038 3691 4663 5608 5920 7464 8872 9715 11794 179431
Francis Lawrence,Alice Braga,Drama Horror Sci-Fi,Will Smith,i am legend,Willow Smith,83 4190 4458 4565 4884 5144 6511 6997 12377 188957 188973
Tim Burton,Christopher Lee,Adventure Comedy Family Fantasy,Johnny Depp,charlie and the chocolate factory,David Kelly,212 715 730 818 970 985 987 1158 10508
Brad Bird,John Ratzenberger,Animation Comedy Family Fantasy,Janeane Garofalo,ratatouille,Brian Dennehy,90 380 996 1261 1650 2161 2227 2246 2982 3640 3910 6074 6808 10637 18293 41412 167982 189359
Christopher Nolan,Liam Neeson,Action Adventure,Christian Bale,batman begins,Morgan Freeman,697 779 849 853 1308 1568 7002 9715 9717 9823 10044 10278 33637 173719 179095 206694 206700 206716
Eric Darnell,Jada Pinkett Smith,Action Adventure Animation Comedy Family,Bernie Mac,madagascar: escape 2 africa,Cedric the Entertainer,409 931 1691 1899 2043 2172 2509 2552 3028 3347 3645 3800 7639 9663 15097 156395 179431
Shawn Levy,Rami Malek,Adventure Comedy Family Fantasy,Robin Williams,night at the museum: battle of the smithsonian,Steve Coogan,2598 5648 179431 194476 209642
Gavin Hood,Ryan Reynolds,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,x-men origins: wolverine,Dominic Monaghan,417 1852 2792 6092 9675 9715 9717 15285 179430 179431 256682
Lana Wachowski,Collin Chou,Action Sci-Fi,Essie Davis,the matrix revolutions,Nona Gaye,83 310 312 334 490 663 779 780 1001 1373 1530 1552 1566 1670 1701 1721 2725 2812 2849 2964 3219 3222 3223 3225 3737 4563 4565 6104 6150 6256 10084 10364 12190 187056 220232 221385
Chris Buck,Maurice LaMarche,Adventure Animation Comedy Family Fantasy Musical,Josh Gad,frozen,Livvy Stubenrauch,1442 2011 2343 3098 4152 7376 9862 13153 209386
Lana Wachowski,Daniel Bernhardt,Action Sci-Fi,Steve Bastoni,the matrix reloaded,Helmut Bakaitis,83 310 312 779 780 1001 1566 1701 1721 2812 2849 2964 3217 3219 3221 3737 4563 4565 6104 6150 6256 9844 10364 12190 187056 221385
Alan Taylor,Natalie Portman,Action Adventure Fantasy,Chris Hemsworth,thor: the dark world,Anthony Hopkins,9715 9717 171783 179101 179430 179431 180547 240071
George Miller,Charlize Theron,Action Adventure Sci-Fi Thriller,Tom Hardy,mad max: fury road,Zoë Kravitz,2964 3713 4458 4565 5657 10084 10349 10562 155499 190954 212516
Ron Howard,Ayelet Zurer,Mystery Thriller,Tom Hanks,angels & demons,Armin Mueller-Stahl,588 716 818 1715 5960 8056 9675 9676 10410 14780 161207 234169
Kenneth Branagh,Natalie Portman,Action Adventure Fantasy,Chris Hemsworth,thor,Anthony Hopkins,1508 5149 9715 9717 11436 179101 179430 180547
Byron Howard,Diedrich Bader,Adventure Animation Comedy Drama Family,Chloë Grace Moretz,bolt,James Lipton,1939 2526 18165 158378 179431 213873 230873
Hoyt Yeatman,Piper Mackenzie Harris,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner,g-force,Niecy Nash,4289 17990 156904 179431
Jonathan Liebesman,Edgar Ramírez,Action Adventure Fantasy,Liam Neeson,wrath of the titans,Lily James,1449 2033 2035 2036 8985 161170 161172 162861 166457 185343
Tim Burton,Chloë Grace Moretz,Comedy Fantasy Horror,Johnny Depp,dark shadows,Christopher Lee,616 2883 3133 10541 11860 15375 33505 41410 155733 160269 160274 160279 162846 190941 193263
Christopher McQuarrie,Jeremy Renner,Action Adventure Thriller,Tom Cruise,mission: impossible - rogue nation,Sean Harris,212 470 1201 1295 1629 3289 9663 10364 10410 18267 160852
Joe Johnston,Simon Merrells,Drama Fantasy Horror Thriller,Anthony Hopkins,the wolfman,Art Malik,970 8250 9714 11004 12564
Steve Hickner,Oprah Winfrey,Adventure Animation Comedy Family,Matthew Broderick,bee movie,Rip Torn,730 1488 2382 2778 2779 3203 3616 3800 4247 6148 18379 179430
Jennifer Yuh Nelson,Gary Oldman,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,kung fu panda 2,Mike Bell,779 3929 7379 8531 9713 10364 187056
M. Night Shyamalan,Noah Ringer,Action Adventure Family Fantasy,Seychelle Gabriel,the last airbender,Aasif Mandvi,657 2770 3071 4152 5331 5638 9714 10244 10563 13002 13152 13153 13155 13156
J.J. Abrams,Tom Cruise,Action Adventure Thriller,Philip Seymour Hoffman,mission: impossible iii,Eddie Marsan,220 591 716 833 1308 1328 1653 1969 2052 2546 2676 2682 3181 3269 3344 3739 3877 4277 4289 4698 4699 4700 4701 4702 6104 9748 9826 10364 11612 12965 18118 33648 46958 191881 222423
Roland Emmerich,Jake Weber,Action Drama Thriller,Channing Tatum,white house down,Matt Craven,833 840 10410 41249
Simon Wells,Dan Fogler,Action Adventure Animation Comedy Family Sci-Fi,Elisabeth Harnois,mars needs moms,Tom Everett Scott,9951 10084 10539 12553 14909 15101 179431
David Bowers,Kate Winslet,Adventure Animation Comedy Family,Hugh Jackman,flushed away,David Suchet,212 1449 1571 3799 5490 9345
Joe Wright,Cara Delevingne,Adventure Family Fantasy,Hugh Jackman,pan,Nonso Anozie,334 380 1412 2343 2710 3650 3930 4332 4344 4418 5938 12988 47972
Rob Minkoff,Zach Callison,Adventure Animation Comedy Family Sci-Fi,Ty Burrell,mr. peabody & sherman,Karan Brar,970 1160 2051 2393 4379 5561 6054 9825 10103 11477 11478 15162 157303 157894 176056 179431 190100 195506 199093 208757 228041
Wolfgang Petersen,Orlando Bloom,Adventure,Brad Pitt,troy,Julian Glover,380 596 2035 3258 3265 3930 4372 4373 6062 6917 9725 10141 14704 158553 162861 189601 235615 235616 235617 235618 235619 243649
Eric Darnell,Martin Short,Adventure Animation Comedy Family,Jada Pinkett Smith,madagascar 3: europe's most wanted,Cedric the Entertainer,291 3645
Lee Tamahori,Colin Salmon,Action Adventure Thriller,Toby Stephens,die another day,Rick Yune,470 3290 11134 156095 168186 208633 234365
Paul Feig,Kate McKinnon,Action Comedy Fantasy Sci-Fi,Ed Begley Jr.,ghostbusters,Zach Woods,5248 15040 161184 162846
Michael Bay,Steve Buscemi,Action Adventure Sci-Fi Thriller,Bruce Willis,armageddon,Will Patton,83 90 305 697 843 1423 1430 1432 1826 4776 5600 9882 10150 13027 14626 179431 189411 193552 211487 264640
Barry Sonnenfeld,Rosario Dawson,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,Will Smith,men in black ii,Rip Torn,83 242 1308 1568 1826 2173 2428 2547 3243 3760 6112 9951 167316 174915
Robert Zemeckis,Anthony Hopkins,Action Adventure Animation Fantasy,Robin Wright,beowulf,Sebastian Roché,509 2037 2251 3932 4615 5035 5895 7368 7411 7412 9920 10541 14643 14704 41011 161919 196544 252571
