director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name
Shawn Levy,Rami Malek,Adventure Comedy Family Fantasy,Robin Williams,night at the museum: battle of the smithsonian,Steve Coogan
Gavin Hood,Ryan Reynolds,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,x-men origins: wolverine,Dominic Monaghan
Lana Wachowski,Collin Chou,Action Sci-Fi,Essie Davis,the matrix revolutions,Nona Gaye
Chris Buck,Maurice LaMarche,Adventure Animation Comedy Family Fantasy Musical,Josh Gad,frozen,Livvy Stubenrauch
Lana Wachowski,Daniel Bernhardt,Action Sci-Fi,Steve Bastoni,the matrix reloaded,Helmut Bakaitis
Alan Taylor,Natalie Portman,Action Adventure Fantasy,Chris Hemsworth,thor: the dark world,Anthony Hopkins
George Miller,Charlize Theron,Action Adventure Sci-Fi Thriller,Tom Hardy,mad max: fury road,Zoë Kravitz
Ron Howard,Ayelet Zurer,Mystery Thriller,Tom Hanks,angels & demons,Armin Mueller-Stahl
Kenneth Branagh,Natalie Portman,Action Adventure Fantasy,Chris Hemsworth,thor,Anthony Hopkins
Byron Howard,Diedrich Bader,Adventure Animation Comedy Drama Family,Chloë Grace Moretz,bolt,James Lipton
Hoyt Yeatman,Piper Mackenzie Harris,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner,g-force,Niecy Nash
Jonathan Liebesman,Edgar Ramírez,Action Adventure Fantasy,Liam Neeson,wrath of the titans,Lily James
Tim Burton,Chloë Grace Moretz,Comedy Fantasy Horror,Johnny Depp,dark shadows,Christopher Lee
Christopher McQuarrie,Jeremy Renner,Action Adventure Thriller,Tom Cruise,mission: impossible - rogue nation,Sean Harris
Joe Johnston,Simon Merrells,Drama Fantasy Horror Thriller,Anthony Hopkins,the wolfman,Art Malik
David Yates,Alexander Skarsgård,Action Adventure Drama Romance,Christoph Waltz,the legend of tarzan,Casper Crump
Steve Hickner,Oprah Winfrey,Adventure Animation Comedy Family,Matthew Broderick,bee movie,Rip Torn
Jennifer Yuh Nelson,Gary Oldman,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,kung fu panda 2,Mike Bell
M. Night Shyamalan,Noah Ringer,Action Adventure Family Fantasy,Seychelle Gabriel,the last airbender,Aasif Mandvi
J.J. Abrams,Tom Cruise,Action Adventure Thriller,Philip Seymour Hoffman,mission: impossible iii,Eddie Marsan
Roland Emmerich,Jake Weber,Action Drama Thriller,Channing Tatum,white house down,Matt Craven
Simon Wells,Dan Fogler,Action Adventure Animation Comedy Family Sci-Fi,Elisabeth Harnois,mars needs moms,Tom Everett Scott
David Bowers,Kate Winslet,Adventure Animation Comedy Family,Hugh Jackman,flushed away,David Suchet
Joe Wright,Cara Delevingne,Adventure Family Fantasy,Hugh Jackman,pan,Nonso Anozie
Rob Minkoff,Zach Callison,Adventure Animation Comedy Family Sci-Fi,Ty Burrell,mr. peabody & sherman,Karan Brar
Wolfgang Petersen,Orlando Bloom,Adventure,Brad Pitt,troy,Julian Glover
Eric Darnell,Martin Short,Adventure Animation Comedy Family,Jada Pinkett Smith,madagascar 3: europe's most wanted,Cedric the Entertainer
Lee Tamahori,Colin Salmon,Action Adventure Thriller,Toby Stephens,die another day,Rick Yune
Paul Feig,Kate McKinnon,Action Comedy Fantasy Sci-Fi,Ed Begley Jr.,ghostbusters,Zach Woods
Michael Bay,Steve Buscemi,Action Adventure Sci-Fi Thriller,Bruce Willis,armageddon,Will Patton
Barry Sonnenfeld,Rosario Dawson,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,Will Smith,men in black ii,Rip Torn
Robert Zemeckis,Anthony Hopkins,Action Adventure Animation Fantasy,Robin Wright,beowulf,Sebastian Roché
Alessandro Carloni,Angelina Jolie Pitt,Action Adventure Animation Comedy Family,J.K. Simmons,kung fu panda 3,Wayne Knight
Brad Bird,Jeremy Renner,Action Adventure Thriller,Tom Cruise,mission: impossible - ghost protocol,Michael Nyqvist
Peter Ramsey,Kamil McFadden,Adventure Animation Family Fantasy,Hugh Jackman,rise of the guardians,Khamani Griffin
Dean Parisot,Richard Burgi,Comedy Crime,John Michael Higgins,fun with dick and jane,David Herman
Edward Zwick,Tony Goldwyn,Action Drama History War,Tom Cruise,the last samurai,Chad Lindberg
Ridley Scott,María Valverde,Action Adventure Drama,Christian Bale,exodus: gods and kings,Ben Mendelsohn
J.J. Abrams,Leonard Nimoy,Action Adventure Sci-Fi,Chris Hemsworth,star trek,Bruce Greenwood
Sam Raimi,James Franco,Action Adventure Fantasy Romance,J.K. Simmons,spider-man,Kirsten Dunst
Dean DeBlois,Djimon Hounsou,Action Adventure Animation Comedy Family Fantasy,Gerard Butler,how to train your dragon 2,America Ferrera
Alex Proyas,Elodie Yung,Action Adventure Fantasy,Gerard Butler,gods of egypt,Bryan Brown
Rob Cohen,Joe Morton,Action Adventure Sci-Fi Thriller,Sam Shepard,stealth,Richard Roxburgh
Zack Snyder,Billy Crudup,Action Drama Mystery Sci-Fi,Matt Frewer,watchmen,Stephen McHattie
Richard Donner,Rene Russo,Action Crime Thriller,Jet Li,lethal weapon 4,Darlene Love
Ang Lee,Regi Davis,Action Sci-Fi,Kevin Rankin,hulk,Celia Weston
Jon M. Chu,Dwayne Johnson,Action Adventure Sci-Fi Thriller,Channing Tatum,g.i. joe: retaliation,Elodie Yung
Breck Eisner,Rainn Wilson,Action Adventure Comedy Thriller,Matthew McConaughey,sahara,Delroy Lindo
Hironobu Sakaguchi,Ming-Na Wen,Action Adventure Animation Fantasy Romance Sci-Fi,Steve Buscemi,final fantasy: the spirits within,Jean Simmons
Joe Johnston,Dominic Cooper,Action Adventure Sci-Fi,Chris Evans,captain america: the first avenger,Hayley Atwell
Michael Apted,Maria Grazia Cucinotta,Action Adventure Thriller,Colin Salmon,the world is not enough,Desmond Llewelyn
Peter Weir,Lee Ingleby,Action Adventure Drama History War,James D'Arcy,master and commander: the far side of the world,David Threlfall
Bill Condon,Kristen Stewart,Adventure Drama Fantasy Romance,Robert Pattinson,the twilight saga: breaking dawn - part 2,Taylor Lautner
George Miller,Brad Pitt,Animation Comedy Family Musical,Robin Williams,happy feet 2,Common
Louis Leterrier,Peter Mensah,Action Adventure Sci-Fi,Ty Burrell,the incredible hulk,William Hurt
Steven Spielberg,Penelope Wilton,Adventure Family Fantasy,Mark Rylance,the bfg,Rafe Spall
Alejandro G. Iñárritu,Tom Hardy,Adventure Drama Thriller Western,Leonardo DiCaprio,the revenant,Lukas Haas
David Soren,Snoop Dogg,Adventure Animation Comedy Family Sport,Ryan Reynolds,turbo,Ben Schwartz
Gore Verbinski,Ray Winstone,Adventure Animation Comedy Family Western,Johnny Depp,rango,Stephen Root
Eric Darnell,Annet Mahendru,Adventure Animation Comedy Family,Benedict Cumberbatch,penguins of madagascar,Andy Richter
Paul Greengrass,Edgar Ramírez,Action Mystery Thriller,Matt Damon,the bourne ultimatum,Albert Finney
Mark Osborne,Wayne Knight,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,kung fu panda,Dan Fogler
Peyton Reed,Hayley Atwell,Action Adventure Comedy Sci-Fi,Judy Greer,ant-man,T.I.
Francis Lawrence,Josh Hutcherson,Adventure Sci-Fi Thriller,Jennifer Lawrence,the hunger games: catching fire,Sandra Ellis Lafferty
Bill Condon,Kristen Stewart,Adventure Drama Fantasy Romance,Robert Pattinson,the twilight saga: breaking dawn - part 2,Taylor Lautner
Tim Johnson,Matt Jones,Adventure Animation Comedy Family Fantasy Sci-Fi,Jim Parsons,home,April Winchell
Steven Spielberg,Lisa Ann Walter,Adventure Sci-Fi Thriller,Tom Cruise,war of the worlds,Rick Gonzalez
Michael Bay,Henry Rollins,Action Comedy Crime Thriller,Will Smith,bad boys ii,Jordi Mollà
Chris Miller,Constance Marie,Action Adventure Animation Comedy Family Fantasy,Salma Hayek,puss in boots,Amy Sedaris
Phillip Noyce,Andre Braugher,Action Crime Mystery Thriller,Angelina Jolie Pitt,salt,August Diehl
Darren Aronofsky,Emma Watson,Action Adventure Drama,Anthony Hopkins,noah,Logan Lerman
Steven Spielberg,Mackenzie Crook,Action Adventure Family Mystery,Toby Jones,the adventures of tintin,Tony Curran
Alfonso Cuarón,Gary Oldman,Adventure Family Fantasy Mystery,Daniel Radcliffe,harry potter and the prisoner of azkaban,Rupert Grint
Baz Luhrmann,Bryan Brown,Adventure Drama Romance War,Essie Davis,australia,Eddie Baroo
M. Night Shyamalan,Zoë Kravitz,Action Adventure Sci-Fi,Will Smith,after earth,Glenn Morshower
Eric Leighton,D.B. Sweeney,Adventure Animation Family Thriller,Alfre Woodard,dinosaur,Della Reese
Matt Birch,Dave Legeno,Action Fantasy,Rupert Grint,harry potter and the deathly hallows: part ii,Ralph Ineson
Shawn Levy,Rami Malek,Adventure Comedy Family Fantasy,Robin Williams,night at the museum: secret of the tomb,Steve Coogan
Tom McGrath,Brad Pitt,Action Animation Comedy Family Sci-Fi,J.K. Simmons,megamind,Will Ferrell
Chris Columbus,Fiona Shaw,Adventure Family Fantasy,Daniel Radcliffe,harry potter and the sorcerer's stone,Verne Troyer
Robert Schwentke,Jeff Bridges,Action Comedy Fantasy,Ryan Reynolds,r.i.p.d.,Stephanie Szostak
Hideaki Anno,Shin'ya Tsukamoto,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,godzilla resurgence,Atsuko Maeda
Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: the curse of the black pearl,Jack Davenport
Matt Birch,Toby Jones,Fantasy,Rupert Grint,harry potter and the deathly hallows: part i,Alfred Enoch
Francis Lawrence,Philip Seymour Hoffman,Adventure Sci-Fi Thriller,Jennifer Lawrence,the hunger games: mockingjay - part 1,Josh Hutcherson
Ron Howard,Seth Gabel,Mystery Thriller,Tom Hanks,the da vinci code,Jürgen Prochnow
Carlos Saldanha,Rachel Crow,Adventure Animation Comedy Family Musical,Miguel Ferrer,rio 2,Jeffrey Garcia
Bryan Singer,Bruce Davison,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,x-men 2,Aaron Stanford
Justin Lin,Vin Diesel,Action Crime Thriller,Paul Walker,fast five,Dwayne Johnson
Guy Ritchie,Eddie Marsan,Action Adventure Crime Mystery Thriller,Robert Downey Jr.,sherlock holmes: a game of shadows,Paul Anderson
Louis Leterrier,Jason Flemyng,Action Adventure Fantasy,Liam Neeson,clash of the titans,Alexa Davalos
Paul Verhoeven,Rachel Ticotin,Action Sci-Fi,Ronny Cox,total recall,Marshall Bell
John McTiernan,Vladimir Kulich,Action Adventure History,Tony Curran,the 13th warrior,Clive Russell
Tony Gilroy,Scott Glenn,Action Adventure Thriller,Jeremy Renner,the bourne legacy,Stacy Keach
Joel Schumacher,Vivica A. Fox,Action,Michael Gough,batman & robin,John Glover
Ron Howard,T.J. Thyne,Comedy Family Fantasy,Clint Howard,how the grinch stole christmas,Molly Shannon
Roland Emmerich,Dennis Quaid,Action Adventure Sci-Fi Thriller,Jake Gyllenhaal,the day after tomorrow,Sela Ward
John Woo,Dougray Scott,Action Adventure Thriller,Tom Cruise,mission: impossible ii,Richard Roxburgh
Wolfgang Petersen,Mary Elizabeth Mastrantonio,Action Adventure Drama Thriller,Karen Allen,the perfect storm,Bob Gunton
Tim Story,Ioan Gruffudd,Action Adventure Sci-Fi Thriller,Chris Evans,fantastic 4: rise of the silver surfer,Andre Braugher
Ang Lee,Rafe Spall,Adventure Drama Fantasy,Suraj Sharma,life of pi,Tabu
Mark Steven Johnson,Matt Long,Action Fantasy Thriller,Nicolas Cage,ghost rider,Peter Fonda
Paul Greengrass,Riz Ahmed,Action Thriller,Matt Damon,jason bourne,Ato Essandoh
McG,Bernie Mac,Action Adventure Comedy Crime,Demi Moore,charlie's angels: full throttle,Justin Theroux
Ridley Scott,Charlize Theron,Adventure Mystery Sci-Fi,Michael Fassbender,prometheus,Sean Harris
Rob Minkoff,Brad Garrett,Adventure Animation Comedy Family Fantasy,Nathan Lane,stuart little 2,Melanie Griffith
Neill Blomkamp,Sharlto Copley,Action Drama Sci-Fi Thriller,Matt Damon,elysium,Alice Braga
David Twohy,Alexa Davalos,Action Adventure Sci-Fi Thriller,Vin Diesel,the chronicles of riddick,Christina Cox
José Padilha,Abbie Cornish,Action Crime Sci-Fi Thriller,Gary Oldman,robocop,Jennifer Ehle
Lana Wachowski,Kick Gurry,Action Family Sport,Scott Porter,speed racer,Nicholas Elia
James L. Brooks,Domenick Lombardozzi,Comedy Drama Romance,Shelley Conn,how do you know,Teyonah Parris
James Mangold,Marc Blucas,Action Comedy Romance,Tom Cruise,knight and day,Jordi Mollà
Joseph Kosinski,Tom Cruise,Action Adventure Mystery Sci-Fi,Morgan Freeman,oblivion,Zoë Bell
George Lucas,Christopher Lee,Action Adventure Fantasy Sci-Fi,Natalie Portman,star wars: episode iii - revenge of the sith,Hayden Christensen
George Lucas,Christopher Lee,Action Adventure Fantasy Sci-Fi,Natalie Portman,star wars: episode ii - attack of the clones,Hayden Christensen
Pete Docter,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Steve Buscemi,"monsters, inc.",James Coburn
James Mangold,Tao Okamoto,Action Adventure Sci-Fi Thriller,Hugh Jackman,the wolverine,Rila Fukushima
George Lucas,Liam Neeson,Action Adventure Fantasy Sci-Fi,Natalie Portman,star wars: episode i - the phantom menace,Ian McDiarmid
Kirk De Micco,Emma Stone,Adventure Animation Comedy Family Fantasy,Ryan Reynolds,the croods,Nicolas Cage
Frédéric Forestier,Santiago Segura,Adventure Comedy Family Fantasy,Alain Delon,asterix at the olympic games,Vanessa Hessler
John Woo,Roger Willie,Action Drama War,Nicolas Cage,windtalkers,Noah Emmerich
Cedric Nicolas-Troyan,Sam Claflin,Action Adventure Drama Fantasy,Chris Hemsworth,the huntsman: winter's war,Charlize Theron
Jonathan Liebesman,Danny Woodburn,Action Adventure Comedy Sci-Fi,Noel Fisher,teenage mutant ninja turtles,Jeremy Howard
