movie_title,recommend
superman returns,"['superman', 'superman ii', 'superman iii', 'green lantern', 'man of steel', 'x-men: apocalypse', 'x-men', 'batman v superman: dawn of justice', 'superman iv: the quest for peace', 'doomsday', 'Justice League', 'doom', 'the amazing spider-man 2', 'zoom', 'avengers: age of ultron', 'guardians of the galaxy', 'captain america: civil war', 'Guardians of the Galaxy Vol. 2', 'the league of extraordinary gentlemen', 'Teen Titans: The Judas Contract', 'x-men: days of future past']"
quantum of solace,"['spectre', 'skyfall', 'the blue room', ""charlie's angels: full throttle"", 'machine gun preacher', 'world war z', 'thunderball', 'mission: impossible ii', 'the world is not enough', 'iBoy', 'die another day', 'the art of war', 'spy kids: all the time in the world in 4d', 'for your eyes only', 'the amazing spider-man 2', 'i spy', 'never say never again', 'g-force', 'xXx: Return of Xander Cage', 'Christopher Robin', 'casino royale']"
pirates of the caribbean: dead man's chest,"[""pirates of the caribbean: at world's end"", 'pirates of the caribbean: the curse of the black pearl', 'pirates of the caribbean: on stranger tides', 'Pirates of the Caribbean: Dead Men Tell No Tales', 'the lone ranger', 'cutthroat island', 'alice through the looking glass', 'the three musketeers', 'cats & dogs: the revenge of kitty galore', 'the last witch hunter', 'into the woods', 'the libertine', 'rango', 'Sherlock Gnomes', ""nim's island"", 'alice in wonderland', 'red sonja', 'thor: the dark world', 'thor', 'the pirates! band of misfits', 'Kong: Skull Island']"
the lone ranger,"['texas rangers', 'rango', ""pirates of the caribbean: at world's end"", ""pirates of the caribbean: dead man's chest"", 'pirates of the caribbean: the curse of the black pearl', 'shanghai noon', 'the legend of the lone ranger', 'american outlaws', 'young guns', 'quigley down under', 'back to the future part iii', 'rocknrolla', 'hidalgo', 'the mask of zorro', 'red river', 'the mexican', 'the wild bunch', 'once upon a time in mexico', ""the legend of hell's gate: an american conspiracy"", 'The Commuter', 'lone wolf mcquade']"
man of steel,"['Justice League', 'batman v superman: dawn of justice', 'green lantern', 'superman returns', 'superman ii', 'x-men: apocalypse', 'the league of extraordinary gentlemen', 'x-men', 'doom', 'superman iii', 'superman', 'the amazing spider-man 2', 'stargate: the ark of truth', 'doomsday', 'x-men: the last stand', 'suicide squad', 'Justice League Dark', 'Aquaman', 'Wonder Woman', 'the avengers', 'the wolverine']"
the chronicles of narnia: prince caspian,"['the chronicles of narnia: the lion, the witch and the wardrobe', 'eragon', 'alex rider: operation stormbreaker', 'destiny', 'the golden compass', 'the chronicles of narnia: the voyage of the dawn treader', ""harry potter and the sorcerer's stone"", 'the neverending story', 'percy jackson: sea of monsters', 'bridge to terabithia', 'seventh son', 'percy jackson & the olympians: the lightning thief', 'arthur and the invisibles', ""cirque du freak: the vampire's assistant"", 'the borrowers', 'journey to the center of the earth', 'the cat in the hat', 'stuart little', 'the spiderwick chronicles', 'pinocchio', 'zoom']"
the avengers,"['avengers: age of ultron', 'captain america: civil war', 'captain america: the winter soldier', 'iron man 2', 'iron man 3', 'Thor: Ragnarok', 'iron man', 'Guardians of the Galaxy Vol. 2', 'captain america: the first avenger', 'thor: the dark world', 'guardians of the galaxy', 'Avengers: Infinity War', 'ant-man', 'Justice League', 'thor', 'Avengers: Endgame', 'deadpool', 'x-men: apocalypse', 'x-men', 'x-men origins: wolverine', 'the incredible hulk']"
pirates of the caribbean: on stranger tides,"[""pirates of the caribbean: dead man's chest"", 'pirates of the caribbean: the curse of the black pearl', 'Pirates of the Caribbean: Dead Men Tell No Tales', ""pirates of the caribbean: at world's end"", 'stealth', 'into the woods', 'the pirates! band of misfits', 'alice through the looking glass', 'inkheart', ""the huntsman: winter's war"", 'the mummy: tomb of the dragon emperor', 'snow white and the huntsman', 'the beastmaster', 'cutthroat island', 'george and the dragon', 'the spongebob squarepants movie', 'highlander', 'blackthorn', ""The King's Daughter"", 'Sherlock Gnomes', 'alice in wonderland']"
men in black 3,"['men in black ii', 'men in black', 'wild wild west', 'teenage mutant ninja turtles iii', 'zathura: a space adventure', 'megiddo: the omega code 2', 'after earth', 'monsters vs. aliens', 'aliens in the attic', 'journey 2: the mysterious island', 'inspector gadget', 'suicide squad', 'g-force', 'my favorite martian', 'teenage mutant ninja turtles ii: the secret of the ooze', 'mars needs moms', 'independence day', 'cloudy with a chance of meatballs 2', 'muppets from space', 'beastmaster 2: through the portal of time', 'spy kids: all the time in the world in 4d']"
the hobbit: the battle of the five armies,"['the hobbit: the desolation of smaug', 'the hobbit: an unexpected journey', 'the lord of the rings: the two towers', 'the lord of the rings: the fellowship of the ring', 'the lord of the rings: the return of the king', 'Unexpected Journey', ""dragon nest: warriors' dawn"", 'your highness', 'warcraft', 'eragon', 'seventh son', 'the borrowers', 'alice through the looking glass', 'the boxtrolls', 'the mortal instruments: city of bones', 'jack the giant slayer', 'the chronicles of narnia: prince caspian', 'conan the barbarian', 'dragonball: evolution', 'the chronicles of narnia: the voyage of the dawn treader', 'the lovely bones']"
the amazing spider-man,"['the amazing spider-man 2', 'thor: the dark world', 'Justice League', 'man of steel', 'the imaginarium of doctor parnassus', 'Wonder Woman', 'Thor: Ragnarok', 'the lego movie', 'teenage mutant ninja turtles', 'batman v superman: dawn of justice', 'thor', 'batman begins', 'avengers: age of ultron', 'The Lego Batman Movie', 'captain america: civil war', 'captain america: the winter soldier', 'Guardians of the Galaxy Vol. 2', 'Aquaman', 'the avengers', 'x-men origins: wolverine', 'race to witch mountain']"
robin hood,"['Robin Hood', 'rapa nui', 'kingdom of heaven', 'one true thing', 'exodus: gods and kings', 'robin hood: prince of thieves', 'into the grizzly maze', 'vertical limit', 'black rain', ""the legend of hell's gate: an american conspiracy"", 'the time machine', 'soldier', 'days of thunder', 'deuces wild', 'body of lies', 'the karate kid', 'the bounty', ""Michael Bolton's Big, Sexy Valentine's Day Special"", 'El Camino: A Breaking Bad Movie', 'white squall', 'flyboys']"
the hobbit: the desolation of smaug,"['the hobbit: the battle of the five armies', 'the hobbit: an unexpected journey', 'the lord of the rings: the two towers', 'the lord of the rings: the return of the king', 'the lord of the rings: the fellowship of the ring', 'Unexpected Journey', 'warcraft', ""dragon nest: warriors' dawn"", 'your highness', 'eragon', 'oz the great and powerful', 'seventh son', 'the borrowers', 'conan the destroyer', 'alice through the looking glass', 'Destroyer', 'the mortal instruments: city of bones', 'jack the giant slayer', 'the chronicles of narnia: prince caspian', 'dragonball: evolution', 'tuck everlasting']"
the golden compass,"['percy jackson & the olympians: the lightning thief', 'charlie and the chocolate factory', 'hugo', 'the chronicles of narnia: prince caspian', ""harry potter and the sorcerer's stone"", 'the twilight saga: new moon', 'eragon', ""cirque du freak: the vampire's assistant"", 'alex rider: operation stormbreaker', 'the bfg', 'The House with a Clock in Its Walls', 'the jungle book', 'the chronicles of narnia: the voyage of the dawn treader', 'Frozen II', 'harry potter and the goblet of fire', 'harry potter and the chamber of secrets', 'the adventurer: the curse of the midas box', 'the little vampire', 'hoot', 'snow day', 'richard iii']"
king kong,"['arn: the knight templar', 'adore', 'godzilla 2000', 'Lost in Florence', 'zoom', 'birdman or (the unexpected virtue of ignorance)', 'the international', 'the bounty', 'Samson', 'flyboys', 'the warlords', 'quigley down under', 'mother and child', 'the legend of tarzan', 'save the last dance', 'el mariachi', 'The Babymoon', 'Shaft', 'the musketeer', 'alfie', 'the bodyguard']"
titanic,"['romeo + juliet', 'heavenly creatures', 'revolutionary road', 'days of heaven', 'the great gatsby', 'eternal sunshine of the spotless mind', 'the immigrant', 'elsa & fred', 'steve jobs', 'the theory of everything', 'nothing but a man', 'the reader', ""what's eating gilbert grape"", 'eat pray love', 'catch me if you can', 'aloha', 'the chambermaid on the titanic', 'trapeze', 'love me tender', 'beastly', 'a walk to remember']"
captain america: civil war,"['avengers: age of ultron', 'captain america: the winter soldier', 'the avengers', 'iron man 2', 'iron man 3', 'Guardians of the Galaxy Vol. 2', 'Avengers: Infinity War', 'Thor: Ragnarok', 'guardians of the galaxy', 'iron man', 'Avengers: Endgame', 'captain america: the first avenger', 'thor: the dark world', 'ant-man', 'thor', 'Justice League', 'deadpool', 'Ant-Man and the Wasp', 'x-men origins: wolverine', 'home', 'fantastic 4: rise of the silver surfer']"
battleship,"['stealth', 'x-men: days of future past', 'the rundown', 'zoom', 'destiny', 'x-men: the last stand', 'star wars: episode i - the phantom menace', 'jason x', 'the saint', 'jumper', 'the core', 'timecop', 'megiddo: the omega code 2', 'hollow man', 'the omega code', 'x-men origins: wolverine', 'the incredible hulk', 'a sound of thunder', 'the chronicles of riddick', 'paycheck', 'wing commander']"
jurassic world,"['jurassic park', 'the lost world: jurassic park', 'jurassic park iii', 'Jurassic World: Fallen Kingdom', 'dawn of the planet of the apes', 'terminator salvation', 'allegiant', 'star trek beyond', 'the specials', 'tomorrowland', 'ant-man', 'escape from l.a.', 'the saint', 'stealth', 'the core', 'megiddo: the omega code 2', 'the island', 'the village', 'predators', 'insurgent', 'the purge: election year']"
skyfall,"['spectre', 'quantum of solace', 'die another day', 'never say never again', 'thunderball', 'the spy who loved me', 'stealth', 'the world is not enough', 'iBoy', 'the art of war', 'spy kids: all the time in the world in 4d', ""charlie's angels"", 'i spy', 'shadow conspiracy', 'agent cody banks', 'dr. no', 'the mask of zorro', 'xXx: Return of Xander Cage', ""on her majesty's secret service"", 'diamonds are forever', 'mission: impossible - rogue nation']"
spider-man 2,"['spider-man 3', 'spider-man', 'oz the great and powerful', 'guardians of the galaxy', 'Guardians of the Galaxy Vol. 2', 'Aquaman', 'flyboys', 'Thor: Ragnarok', 'superman ii', 'the amazing spider-man 2', 'thor: the dark world', 'thor', 'avengers: age of ultron', 'Dark Phoenix', 'hellboy ii: the golden army', 'blade: trinity', 'captain america: civil war', 'Justice League', 'Deadpool 2', 'the specials', 'superman returns']"
iron man 3,"['iron man 2', 'iron man', 'captain america: civil war', 'the avengers', 'avengers: age of ultron', 'guardians of the galaxy', 'captain america: the winter soldier', 'ant-man', 'Guardians of the Galaxy Vol. 2', 'captain america: the first avenger', 'Thor: Ragnarok', 'Avengers: Infinity War', 'Justice League', 'deadpool', 'x-men: apocalypse', 'x-men', 'green lantern', 'x-men origins: wolverine', 'the incredible hulk', 'Moontrap: Target Earth', 'batman v superman: dawn of justice']"
alice in wonderland,"['alice through the looking glass', 'wonderland', 'charlie and the chocolate factory', 'harry potter and the half-blood prince', 'Sherlock Gnomes', 'oz the great and powerful', 'corpse bride', 'return to oz', 'hoot', 'the spongebob movie: sponge out of water', 'muppets from space', 'dark shadows', 'eragon', 'garfield 2', 'aliens in the attic', 'the neverending story', 'percy jackson & the olympians: the lightning thief', 'hop', 'mirrormask', 'scooby-doo 2: monsters unleashed', 'the bfg']"
x-men: the last stand,"['x-men: days of future past', 'x-men origins: wolverine', 'the wolverine', 'x-men', 'x-men: apocalypse', 'x-men: first class', 'Logan', 'Justice League', 'stealth', 'megiddo: the omega code 2', 'man of steel', 'the omega code', 'Thor: Ragnarok', 'transformers: age of extinction', 'the amazing spider-man 2', 'iron man 3', 'guardians of the galaxy', 'underworld: evolution', 'destiny', 'captain america: civil war', 'captain america: the winter soldier']"
monsters university,"['cats & dogs: the revenge of kitty galore', 'Little Monsters', 'monsters, inc.', 'monster house', 'toy story 2', 'stuart little 2', 'hop', 'the ant bully', 'the brave little toaster', 'the secret life of pets', 'thunder and the house of magic', 'The Dragon Spell', 'the cat in the hat', 'Toy Story 4', 'shrek forever after', 'the smurfs 2', 'the crocodile hunter: collision course', 'The Secret Life of Pets 2', 'minions', 'alvin and the chipmunks: the road chip', 'toy story 3']"
transformers: revenge of the fallen,"['transformers', 'transformers: dark of the moon', 'transformers: age of extinction', 'Transformers: The Last Knight', 'after earth', 'the core', 'monsters vs. aliens', 'riddick', ""the legend of hell's gate: an american conspiracy"", 'star trek into darkness', 'independence day: resurgence', 'zoom', 'pacific rim', 'men in black 3', 'captain america: civil war', 'the saint', 'terminator genisys', 'spy kids', 'dragonball: evolution', 'teenage mutant ninja turtles ii: the secret of the ooze', 'battle los angeles']"
transformers: age of extinction,"['transformers', 'transformers: revenge of the fallen', 'Transformers: The Last Knight', 'transformers: dark of the moon', 'star trek into darkness', 'monsters vs. aliens', 'zathura: a space adventure', 'underworld: evolution', 'independence day: resurgence', 'Beyond Skyline', 'pacific rim', 'men in black 3', 'captain america: civil war', 'x-men: the last stand', 'thunderbirds', 'the saint', 'terminator genisys', 'megiddo: the omega code 2', 'the island', 'predators', 'beastmaster 2: through the portal of time']"
oz the great and powerful,"['harry potter and the half-blood prince', ""harry potter and the sorcerer's stone"", 'harry potter and the chamber of secrets', 'harry potter and the order of the phoenix', 'alice in wonderland', 'spider-man 2', 'The Institute', 'spider-man', 'thunder and the house of magic', ""the huntsman: winter's war"", 'the smurfs', 'harry potter and the deathly hallows: part i', 'the chronicles of narnia: the voyage of the dawn treader', ""howl's moving castle"", 'the wizard of oz', 'harry potter and the goblet of fire', 'harry potter and the deathly hallows: part ii', ""gulliver's travels"", 'big fish', 'return to oz', 'doogal']"
the amazing spider-man 2,"['the amazing spider-man', 'Justice League', 'superman returns', 'man of steel', 'green lantern', 'beastmaster 2: through the portal of time', 'Thor: Ragnarok', 'doom', 'batman v superman: dawn of justice', 'teenage mutant ninja turtles: out of the shadows', 'stargate: the ark of truth', 'superman ii', 'Logan', 'avengers: age of ultron', 'guardians of the galaxy', 'destiny', 'captain america: civil war', 'x-men: the last stand', 'Guardians of the Galaxy Vol. 2', 'x-men: apocalypse', 'the league of extraordinary gentlemen']"
tron: legacy,"['the purge: election year', 'allegiant', 'destiny', 'terminator genisys', 'oblivion', 'insurgent', 'after earth', 'guardians of the galaxy', 'escape from l.a.', 'Guardians of the Galaxy Vol. 2', 'lockout', 'stealth', 'megiddo: the omega code 2', 'terminator salvation', 'in time', 'the thirteenth floor', 'the terminator', 'universal soldier: the return', 'iron man', ""logan's run"", 'the chronicles of riddick']"
cars 2,"['cars', ""a bug's life"", 'toy story 2', 'turbo', 'Ralph Breaks the Internet', 'Sherlock Gnomes', 'herbie fully loaded', 'Cars 3', 'thunder and the house of magic', 'Smurfs: The Lost Village', 'up', 'The Secret Life of Pets 2', 'alvin and the chipmunks: the road chip', 'toy story', 'toy story 3', 'chicken little', 'the croods', 'free birds', 'winnie the pooh', 'legend of kung fu rabbit', 'penguins of madagascar']"
green lantern,"['doomsday', 'doom', 'batman v superman: dawn of justice', 'Justice League', 'superman returns', 'man of steel', 'deadpool', 'Thor: Ragnarok', 'x-men origins: wolverine', 'superman ii', 'Justice League Dark', 'blade: trinity', 'x-men: apocalypse', 'the league of extraordinary gentlemen', 'x-men', 'Teen Titans: The Judas Contract', 'superman', 'superman iii', 'meteor', 'the amazing spider-man 2', 'avengers: age of ultron']"
toy story 3,"['toy story 2', 'toy story', 'Toy Story 4', ""a bug's life"", 'the brave little toaster', 'up', 'cars', 'Sherlock Gnomes', 'Frozen II', 'cars 2', 'aliens in the attic', 'the lego movie', 'the ant bully', 'the boxtrolls', 'thunder and the house of magic', 'The Dragon Spell', 'wall·e', 'g-force', 'tangled', 'shrek forever after', 'the smurfs 2']"
terminator salvation,"['terminator genisys', 'the terminator', 'terminator 3: rise of the machines', 'battlefield earth', ""logan's run"", 'after earth', 'jurassic world', 'battle for the planet of the apes', 'def-con 4', 'the matrix', 'escape from l.a.', 'resident evil: afterlife', 'equilibrium', 'stealth', 'megiddo: the omega code 2', 'mad max: fury road', 'terminator 2: judgment day', 'Ghost in the Shell', 'star trek: the motion picture', 'conquest of the planet of the apes', '9']"
furious 7,"['the fast and the furious', 'fast five', '2 fast 2 furious', 'The Fate of the Furious', 'death race', 'the transporter', 'wild card', 'transporter 2', 'into the blue', 'safe', 'the fast and the furious: tokyo drift', 'homefront', 'ninja assassin', 'a man apart', 'takers', 'dead man down', 'the one', 'riddick', 'parker', 'death sentence', 'the death and life of bobby z']"
world war z,"['allegiant', 'resident evil: retribution', 'the 5th wave', 'war of the worlds', 'resident evil: apocalypse', 'resident evil: extinction', 'Resident Evil: Vendetta', 'megiddo: the omega code 2', 'resident evil: afterlife', 'the host', 'insurgent', 'the purge: election year', 'the chronicles of riddick', 'a sound of thunder', 'the scorch trials', 'after earth', 'pandorum', 'lifeforce', 'planet of the apes', 'daybreakers', 'zoom']"
x-men: days of future past,"['x-men: the last stand', 'x-men: apocalypse', 'x-men', 'x-men origins: wolverine', 'the wolverine', 'x-men: first class', 'destiny', 'a sound of thunder', 'Dark Phoenix', 'Logan', 'Justice League', 'stealth', 'timecop', 'megiddo: the omega code 2', 'superman returns', 'man of steel', 'the omega code', 'beastmaster 2: through the portal of time', 'Thor: Ragnarok', 'teenage mutant ninja turtles iii', 'the amazing spider-man 2']"
star trek into darkness,"['star trek', 'transformers: age of extinction', 'star trek beyond', 'oblivion', 'wing commander', 'teenage mutant ninja turtles: out of the shadows', 'star trek iii: the search for spock', 'stargate: the ark of truth', 'avatar', 'guardians of the galaxy', 'titan a.e.', 'zathura: a space adventure', 'independence day: resurgence', 'Beyond Skyline', 'captain america: civil war', 'Guardians of the Galaxy Vol. 2', 'independence daysaster', 'terminator genisys', 'mission to mars', 'independence day', 'jupiter ascending']"
jack the giant slayer,"['gods of egypt', 'australia', 'x-men: days of future past', 'the spongebob movie: sponge out of water', 'the hobbit: an unexpected journey', 'the rundown', 'Fantastic Beasts: The Crimes of Grindelwald', 'the bfg', 'sherlock holmes: a game of shadows', 'superman returns', 'the hobbit: the battle of the five armies', 'the hobbit: the desolation of smaug', 'x-men: apocalypse', 'the polar express', 'x-men', 'beastmaster 2: through the portal of time', 'mirrormask', 'snow white and the huntsman', 'into the woods', 'race to witch mountain', 'maleficent']"
the great gatsby,"['romeo + juliet', ""what's eating gilbert grape"", 'revolutionary road', 'the painted veil', 'supercross', 'youth in revolt', 'the house of mirth', 'notes on a scandal', 'the postman always rings twice', 'body of lies', 'the end of the affair', 'australia', ""winter's tale"", 'the city of your final destination', 'arn: the knight templar', 'i think i love my wife', 'Shepherds and Butchers', 'Fifty Shades Freed', 'titanic', 'j. edgar', 'hope springs']"
prince of persia: the sands of time,"[""legend of the guardians: the owls of ga'hoole"", 'bloodrayne', 'george and the dragon', 'bubble boy', 'red sonja', 'pushing tin', 'conan the destroyer', 'in the name of the king: a dungeon siege tale', 'the princess and the cobbler', 'tycoon', 'final fantasy: the spirits within', 'Tomb Raider', 'six days seven nights', 'accidental love', 'lara croft: tomb raider', 'star wars: episode vi - return of the jedi', 'Pokémon Detective Pikachu', 'the legend of the lone ranger', 'arn: the knight templar', 'sands of iwo jima', 'destiny']"
pacific rim,"['transformers: age of extinction', 'captain america: civil war', 'fortress', 'the avengers', 'terminator genisys', 'the host', 'transformers: revenge of the fallen', 'monsters vs. aliens', 'after earth', 'avengers: age of ultron', 'the 5th wave', 'independence day: resurgence', 'wall·e', 'tomorrowland', 'war of the worlds', 'hellboy ii: the golden army', 'oblivion', 'battlefield earth', 'resident evil: afterlife', 'mars needs moms', 'stealth']"
transformers: dark of the moon,"['transformers: revenge of the fallen', 'transformers', 'transformers: age of extinction', 'after earth', 'Transformers: The Last Knight', 'the core', 'monsters vs. aliens', 'armageddon', ""the legend of hell's gate: an american conspiracy"", 'zoom', 'planet 51', 'the saint', 'teenage mutant ninja turtles ii: the secret of the ooze', 'megiddo: the omega code 2', 'the island', 'Thor: Ragnarok', 'gentlemen broncos', 'race to witch mountain', 'serenity', 'the postman', 'superman ii']"
indiana jones and the kingdom of the crystal skull,"['indiana jones and the last crusade', 'raiders of the lost ark', 'indiana jones and the temple of doom', 'the adventures of tintin', 'lara croft tomb raider: the cradle of life', 'national treasure', 'lara croft: tomb raider', 'star wars: episode v - the empire strikes back', 'six days seven nights', 'dungeons & dragons: wrath of the dragon god', 'star wars: episode vi - return of the jedi', 'Pacific Rim: Uprising', 'the chronicles of narnia: the lion, the witch and the wardrobe', 'the expendables 3', 'the borrowers', 'stargate: the ark of truth', 'men in black ii', 'arthur christmas', 'superman iv: the quest for peace', 'around the world in 80 days', 'atlantis: the lost empire']"
the good dinosaur,"['the nut job', 'thomas and the magic railroad', 'rise of the guardians', 'Toy Story 4', 'stuart little 2', 'the pirates! band of misfits', 'garfield', 'the borrowers', 'ice age: continental drift', 'the brave little toaster', 'thunder and the house of magic', 'destiny', 'The Dragon Spell', 'shrek forever after', 'the smurfs 2', 'the odd life of timothy green', 'The Secret Life of Pets 2', 'Little Monsters', 'chicken run', 'toy story', 'the polar express']"
brave,"[""a bug's life"", ""the emperor's new groove"", 'paddington', 'toy story 2', 'toy story 3', 'cars', 'Sherlock Gnomes', 'toy story', 'the wild thornberrys movie', 'woman on top', 'puss in boots', 'hop', 'the ant bully', 'the tigger movie', 'alvin and the chipmunks: the squeakquel', 'thunder and the house of magic', 'thomas and the magic railroad', 'Smurfs: The Lost Village', 'The Dragon Spell', 'wall·e', 'up']"
star trek beyond,"['star trek into darkness', 'stealth', 'serenity', 'allegiant', 'Power Rangers', 'zoom', 'escape from l.a.', 'the saint', 'star trek v: the final frontier', 'star trek vi: the undiscovered country', 'star wars: episode iii - revenge of the sith', 'the core', 'megiddo: the omega code 2', 'space battleship yamato', 'predators', 'star wars: episode vi - return of the jedi', 'insurgent', 'star trek: the motion picture', 'the purge: election year', 'the omega code', 'star trek: insurrection']"
wall·e,"['chicken little', 'aqua teen hunger force colon movie film for theaters', ""a bug's life"", 'monsters vs. aliens', 'robots', 'aliens in the attic', 'titan a.e.', 'space chimps', 'up', 'g-force', 'planet 51', 'toy story 2', 'finding nemo', 'jimmy neutron: boy genius', 'terminator genisys', 'minions', 'the host', 'toy story 3', 'mars needs moms', 'cars', 'Ralph Breaks the Internet']"
rush hour 3,"['rush hour 2', 'money talks', 'after the sunset', 'the transporter refueled', 'Stuber', 'hollywood homicide', 'tango & cash', 'taxman', 'red dragon', 'formula 51', 'underclassman', 'double take', 'showdown in little tokyo', 'machete kills', 'bon cop bad cop', 'Free Fire', ""Ocean's 8"", 'tower heist', 'money train', 'red', 'exit wounds']"
2012,"['independence day: resurgence', 'independence day', 'the lovers', 'x-men: first class', 'the postman', ""the world's end"", 'allegiant', 'guardians of the galaxy', 'after earth', 'Moontrap: Target Earth', 'tomorrowland', 'war of the worlds', 'star wars: episode i - the phantom menace', 'Guardians of the Galaxy Vol. 2', 'the time machine', 'zoom', 'the specials', 'destiny', 'Beyond Skyline', 'oblivion', 'the wolverine']"
a christmas carol,"['the muppet christmas carol', 'scrooged', 'the magic sword: quest for camelot', 'tinker tailor soldier spy', 'the santa clause', 'the polar express', 'oliver!', 'the scarlet letter', 'The Happy Prince', 'what lies beneath', 'the boxtrolls', 'the princess bride', 'beowulf', 'nanny mcphee', 'what a girl wants', 'pinocchio', 'what just happened', 'four christmases', 'secondhand lions', 'return to never land', 'charlie st. cloud']"
jupiter ascending,"['green lantern', 'g.i. joe: retaliation', 'the chronicles of riddick', 'doom', 'wing commander', 'the matrix', 'star trek into darkness', 'guardians of the galaxy', 'titan a.e.', 'zathura: a space adventure', 'after earth', 'Moontrap: Target Earth', 'Stasis', 'dune', 'Guardians of the Galaxy Vol. 2', 'independence day: resurgence', 'the time machine', 'zoom', 'destiny', 'oblivion', 'i am number four']"
