director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name
Hideaki Anno,Shin'ya Tsukamoto,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,godzilla resurgenc,Atsuko Maeda
Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: an unexpected journe,James Nesbitt
Rob Cohen,Vin Diesel,Action Crime Thriller,Paul Walker,the fast and the furiou,Jordana Brewster
David Fincher,Jason Flemyng,Drama Fantasy Romance,Brad Pitt,the curious case of benjamin butto,Julia Ormond
Matthew Vaughn,Michael Fassbender,Action Adventure Sci-Fi,Jennifer Lawrence,x-men: first clas,Oliver Platt
Francis Lawrence,Philip Seymour Hoffman,Adventure Sci-Fi,Jennifer Lawrence,the hunger games: mockingjay - part ,Josh Hutcherson
Jon Turteltaub,Omar Benson Miller,Action Adventure Family Fantasy,Nicolas Cage,the sorcerer's apprentic,Robert Capron
Wolfgang Petersen,Mike Vogel,Action Adventure Drama Thriller,Jimmy Bennett,poseido,Andre Braugher
James Bobin,Alan Rickman,Adventure Family Fantasy,Johnny Depp,alice through the looking glas,Anne Hathaway
Chris Miller,Eric Idle,Adventure Animation Comedy Family Fantasy,Justin Timberlake,shrek the thir,Rupert Everett
Duncan Jones,Callum Rennie,Action Adventure Fantasy,Dominic Cooper,warcraf,Ruth Negga
Alan Taylor,Emilia Clarke,Action Adventure Sci-Fi,J.K. Simmons,terminator genisy,Matt Smith
Michael Apted,Shane Rangi,Adventure Family Fantasy,Bruce Spence,the chronicles of narnia: the voyage of the dawn treade,Laura Brent
Michael Bay,Jaime King,Action Drama History Romance War,Jennifer Garner,pearl harbo,Mako
Michael Bay,Michael O'Neill,Action Adventure Sci-Fi,Zack Ward,transformer,Kevin Dunn
Oliver Stone,Angelina Jolie Pitt,Action Adventure Biography Drama History Romance War,Anthony Hopkins,alexande,Brian Blessed
David Yates,Daniel Radcliffe,Adventure Family Fantasy Mystery,Robert Pattinson,harry potter and the order of the phoeni,Fiona Shaw
Mike Newell,Daniel Radcliffe,Adventure Family Fantasy Mystery,Robert Pattinson,harry potter and the goblet of fir,Rupert Grint
Peter Berg,Charlize Theron,Action Drama,Will Smith,hancoc,Eddie Marsan
Francis Lawrence,Alice Braga,Drama Horror Sci-Fi,Will Smith,i am legen,Willow Smith
Tim Burton,Christopher Lee,Adventure Comedy Family Fantasy,Johnny Depp,charlie and the chocolate factor,David Kelly
Brad Bird,John Ratzenberger,Animation Comedy Family Fantasy,Janeane Garofalo,ratatouill,Brian Dennehy
Christopher Nolan,Liam Neeson,Action Adventure,Christian Bale,batman begin,Morgan Freeman
Eric Darnell,Jada Pinkett Smith,Action Adventure Animation Comedy Family,Bernie Mac,madagascar: escape 2 afric,Cedric the Entertainer
Shawn Levy,Rami Malek,Adventure Comedy Family Fantasy,Robin Williams,night at the museum: battle of the smithsonia,Steve Coogan
Gavin Hood,Ryan Reynolds,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,x-men origins: wolverin,Dominic Monaghan
Lana Wachowski,Collin Chou,Action Sci-Fi,Essie Davis,the matrix revolution,Nona Gaye
Chris Buck,Maurice LaMarche,Adventure Animation Comedy Family Fantasy Musical,Josh Gad,froze,Livvy Stubenrauch
Lana Wachowski,Daniel Bernhardt,Action Sci-Fi,Steve Bastoni,the matrix reloade,Helmut Bakaitis
Alan Taylor,Natalie Portman,Action Adventure Fantasy,Chris Hemsworth,thor: the dark worl,Anthony Hopkins
George Miller,Charlize Theron,Action Adventure Sci-Fi Thriller,Tom Hardy,mad max: fury roa,Zoë Kravitz
Ron Howard,Ayelet Zurer,Mystery Thriller,Tom Hanks,angels & demon,Armin Mueller-Stahl
Kenneth Branagh,Natalie Portman,Action Adventure Fantasy,Chris Hemsworth,tho,Anthony Hopkins
Byron Howard,Diedrich Bader,Adventure Animation Comedy Drama Family,Chloë Grace Moretz,bol,James Lipton
Hoyt Yeatman,Piper Mackenzie Harris,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner,g-forc,Niecy Nash
Jonathan Liebesman,Edgar Ramírez,Action Adventure Fantasy,Liam Neeson,wrath of the titan,Lily James
Tim Burton,Chloë Grace Moretz,Comedy Fantasy Horror,Johnny Depp,dark shadow,Christopher Lee
Christopher McQuarrie,Jeremy Renner,Action Adventure Thriller,Tom Cruise,mission: impossible - rogue natio,Sean Harris
Joe Johnston,Simon Merrells,Drama Fantasy Horror Thriller,Anthony Hopkins,the wolfma,Art Malik
David Yates,Alexander Skarsgård,Action Adventure Drama Romance,Christoph Waltz,the legend of tarza,Casper Crump
Steve Hickner,Oprah Winfrey,Adventure Animation Comedy Family,Matthew Broderick,bee movi,Rip Torn
Jennifer Yuh Nelson,Gary Oldman,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,kung fu panda ,Mike Bell
M. Night Shyamalan,Noah Ringer,Action Adventure Family Fantasy,Seychelle Gabriel,the last airbende,Aasif Mandvi
J.J. Abrams,Tom Cruise,Action Adventure Thriller,Philip Seymour Hoffman,mission: impossible ii,Eddie Marsan
Roland Emmerich,Jake Weber,Action Drama Thriller,Channing Tatum,white house dow,Matt Craven
Simon Wells,Dan Fogler,Action Adventure Animation Comedy Family Sci-Fi,Elisabeth Harnois,mars needs mom,Tom Everett Scott
David Bowers,Kate Winslet,Adventure Animation Comedy Family,Hugh Jackman,flushed awa,David Suchet
Joe Wright,Cara Delevingne,Adventure Family Fantasy,Hugh Jackman,pa,Nonso Anozie
Rob Minkoff,Zach Callison,Adventure Animation Comedy Family Sci-Fi,Ty Burrell,mr. peabody & sherma,Karan Brar
Wolfgang Petersen,Orlando Bloom,Adventure,Brad Pitt,tro,Julian Glover
Eric Darnell,Martin Short,Adventure Animation Comedy Family,Jada Pinkett Smith,madagascar 3: europe's most wante,Cedric the Entertainer
Lee Tamahori,Colin Salmon,Action Adventure Thriller,Toby Stephens,die another da,Rick Yune
Paul Feig,Kate McKinnon,Action Comedy Fantasy Sci-Fi,Ed Begley Jr.,ghostbuster,Zach Woods
Michael Bay,Steve Buscemi,Action Adventure Sci-Fi Thriller,Bruce Willis,armageddo,Will Patton
Barry Sonnenfeld,Rosario Dawson,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,Will Smith,men in black i,Rip Torn
Robert Zemeckis,Anthony Hopkins,Action Adventure Animation Fantasy,Robin Wright,beowul,Sebastian Roché
Alessandro Carloni,Angelina Jolie Pitt,Action Adventure Animation Comedy Family,J.K. Simmons,kung fu panda ,Wayne Knight
Brad Bird,Jeremy Renner,Action Adventure Thriller,Tom Cruise,mission: impossible - ghost protoco,Michael Nyqvist
Peter Ramsey,Kamil McFadden,Adventure Animation Family Fantasy,Hugh Jackman,rise of the guardian,Khamani Griffin
Dean Parisot,Richard Burgi,Comedy Crime,John Michael Higgins,fun with dick and jan,David Herman
Edward Zwick,Tony Goldwyn,Action Drama History War,Tom Cruise,the last samura,Chad Lindberg
Ridley Scott,María Valverde,Action Adventure Drama,Christian Bale,exodus: gods and king,Ben Mendelsohn
J.J. Abrams,Leonard Nimoy,Action Adventure Sci-Fi,Chris Hemsworth,star tre,Bruce Greenwood
Sam Raimi,James Franco,Action Adventure Fantasy Romance,J.K. Simmons,spider-ma,Kirsten Dunst
Dean DeBlois,Djimon Hounsou,Action Adventure Animation Comedy Family Fantasy,Gerard Butler,how to train your dragon ,America Ferrera
Alex Proyas,Elodie Yung,Action Adventure Fantasy,Gerard Butler,gods of egyp,Bryan Brown
Rob Cohen,Joe Morton,Action Adventure Sci-Fi Thriller,Sam Shepard,stealt,Richard Roxburgh
Zack Snyder,Billy Crudup,Action Drama Mystery Sci-Fi,Matt Frewer,watchme,Stephen McHattie
Richard Donner,Rene Russo,Action Crime Thriller,Jet Li,lethal weapon ,Darlene Love
Ang Lee,Regi Davis,Action Sci-Fi,Kevin Rankin,hul,Celia Weston
Jon M. Chu,Dwayne Johnson,Action Adventure Sci-Fi Thriller,Channing Tatum,g.i. joe: retaliatio,Elodie Yung
Breck Eisner,Rainn Wilson,Action Adventure Comedy Thriller,Matthew McConaughey,sahar,Delroy Lindo
Hironobu Sakaguchi,Ming-Na Wen,Action Adventure Animation Fantasy Romance Sci-Fi,Steve Buscemi,final fantasy: the spirits withi,Jean Simmons
Joe Johnston,Dominic Cooper,Action Adventure Sci-Fi,Chris Evans,captain america: the first avenge,Hayley Atwell
Michael Apted,Maria Grazia Cucinotta,Action Adventure Thriller,Colin Salmon,the world is not enoug,Desmond Llewelyn
Peter Weir,Lee Ingleby,Action Adventure Drama History War,James D'Arcy,master and commander: the far side of the worl,David Threlfall
Bill Condon,Kristen Stewart,Adventure Drama Fantasy Romance,Robert Pattinson,the twilight saga: breaking dawn - part ,Taylor Lautner
George Miller,Brad Pitt,Animation Comedy Family Musical,Robin Williams,happy feet ,Common
Louis Leterrier,Peter Mensah,Action Adventure Sci-Fi,Ty Burrell,the incredible hul,William Hurt
,Philip Michael Thomas,Action Crime Drama Mystery Thriller,Don Johnson,miami vice           ,John Diehl
Steven Spielberg,Penelope Wilton,Adventure Family Fantasy,Mark Rylance,the bf,Rafe Spall
Alejandro G. Iñárritu,Tom Hardy,Adventure Drama Thriller Western,Leonardo DiCaprio,the revenan,Lukas Haas
David Soren,Snoop Dogg,Adventure Animation Comedy Family Sport,Ryan Reynolds,turb,Ben Schwartz
Gore Verbinski,Ray Winstone,Adventure Animation Comedy Family Western,Johnny Depp,rang,Stephen Root
Eric Darnell,Annet Mahendru,Adventure Animation Comedy Family,Benedict Cumberbatch,penguins of madagasca,Andy Richter
Paul Greengrass,Edgar Ramírez,Action Mystery Thriller,Matt Damon,the bourne ultimatu,Albert Finney
Mark Osborne,Wayne Knight,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,kung fu pand,Dan Fogler
Peyton Reed,Hayley Atwell,Action Adventure Comedy Sci-Fi,Judy Greer,ant-ma,T.I.
Francis Lawrence,Josh Hutcherson,Adventure Sci-Fi Thriller,Jennifer Lawrence,the hunger games: catching fir,Sandra Ellis Lafferty
Bill Condon,Kristen Stewart,Adventure Drama Fantasy Romance,Robert Pattinson,the twilight saga: breaking dawn - part ,Taylor Lautner
Tim Johnson,Matt Jones,Adventure Animation Comedy Family Fantasy Sci-Fi,Jim Parsons,hom,April Winchell
Steven Spielberg,Lisa Ann Walter,Adventure Sci-Fi Thriller,Tom Cruise,war of the world,Rick Gonzalez
Michael Bay,Henry Rollins,Action Comedy Crime Thriller,Will Smith,bad boys i,Jordi Mollà
Chris Miller,Constance Marie,Action Adventure Animation Comedy Family Fantasy,Salma Hayek,puss in boot,Amy Sedaris
Phillip Noyce,Andre Braugher,Action Crime Mystery Thriller,Angelina Jolie Pitt,sal,August Diehl
Darren Aronofsky,Emma Watson,Action Adventure Drama,Anthony Hopkins,noa,Logan Lerman
Steven Spielberg,Mackenzie Crook,Action Adventure Family Mystery,Toby Jones,the adventures of tinti,Tony Curran
Alfonso Cuarón,Gary Oldman,Adventure Family Fantasy Mystery,Daniel Radcliffe,harry potter and the prisoner of azkaba,Rupert Grint
Baz Luhrmann,Bryan Brown,Adventure Drama Romance War,Essie Davis,australi,Eddie Baroo
M. Night Shyamalan,Zoë Kravitz,Action Adventure Sci-Fi,Will Smith,after eart,Glenn Morshower
Eric Leighton,D.B. Sweeney,Adventure Animation Family Thriller,Alfre Woodard,dinosau,Della Reese
Matt Birch,Dave Legeno,Action Fantasy,Rupert Grint,harry potter and the deathly hallows: part i,Ralph Ineson
Shawn Levy,Rami Malek,Adventure Comedy Family Fantasy,Robin Williams,night at the museum: secret of the tom,Steve Coogan
Tom McGrath,Brad Pitt,Action Animation Comedy Family Sci-Fi,J.K. Simmons,megamin,Will Ferrell
Chris Columbus,Fiona Shaw,Adventure Family Fantasy,Daniel Radcliffe,harry potter and the sorcerer's ston,Verne Troyer
Robert Schwentke,Jeff Bridges,Action Comedy Fantasy,Ryan Reynolds,r.i.p.d,Stephanie Szostak
Hideaki Anno,Shin'ya Tsukamoto,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,godzilla resurgenc,Atsuko Maeda
Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: the curse of the black pear,Jack Davenport
Matt Birch,Toby Jones,Fantasy,Rupert Grint,harry potter and the deathly hallows: part ,Alfred Enoch
Francis Lawrence,Philip Seymour Hoffman,Adventure Sci-Fi Thriller,Jennifer Lawrence,the hunger games: mockingjay - part ,Josh Hutcherson
Ron Howard,Seth Gabel,Mystery Thriller,Tom Hanks,the da vinci cod,Jürgen Prochnow
Carlos Saldanha,Rachel Crow,Adventure Animation Comedy Family Musical,Miguel Ferrer,rio ,Jeffrey Garcia
Bryan Singer,Bruce Davison,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,x-men ,Aaron Stanford
Justin Lin,Vin Diesel,Action Crime Thriller,Paul Walker,fast fiv,Dwayne Johnson
Guy Ritchie,Eddie Marsan,Action Adventure Crime Mystery Thriller,Robert Downey Jr.,sherlock holmes: a game of shadow,Paul Anderson
Louis Leterrier,Jason Flemyng,Action Adventure Fantasy,Liam Neeson,clash of the titan,Alexa Davalos
Paul Verhoeven,Rachel Ticotin,Action Sci-Fi,Ronny Cox,total recal,Marshall Bell
John McTiernan,Vladimir Kulich,Action Adventure History,Tony Curran,the 13th warrio,Clive Russell
Tony Gilroy,Scott Glenn,Action Adventure Thriller,Jeremy Renner,the bourne legac,Stacy Keach
Joel Schumacher,Vivica A. Fox,Action,Michael Gough,batman & robi,John Glover
Ron Howard,T.J. Thyne,Comedy Family Fantasy,Clint Howard,how the grinch stole christma,Molly Shannon
Roland Emmerich,Dennis Quaid,Action Adventure Sci-Fi Thriller,Jake Gyllenhaal,the day after tomorro,Sela Ward
John Woo,Dougray Scott,Action Adventure Thriller,Tom Cruise,mission: impossible i,Richard Roxburgh
Wolfgang Petersen,Mary Elizabeth Mastrantonio,Action Adventure Drama Thriller,Karen Allen,the perfect stor,Bob Gunton
Tim Story,Ioan Gruffudd,Action Adventure Sci-Fi Thriller,Chris Evans,fantastic 4: rise of the silver surfe,Andre Braugher
Ang Lee,Rafe Spall,Adventure Drama Fantasy,Suraj Sharma,life of p,Tabu
Mark Steven Johnson,Matt Long,Action Fantasy Thriller,Nicolas Cage,ghost ride,Peter Fonda
Paul Greengrass,Riz Ahmed,Action Thriller,Matt Damon,jason bourn,Ato Essandoh
McG,Bernie Mac,Action Adventure Comedy Crime,Demi Moore,charlie's angels: full throttl,Justin Theroux
Ridley Scott,Charlize Theron,Adventure Mystery Sci-Fi,Michael Fassbender,prometheu,Sean Harris
Rob Minkoff,Brad Garrett,Adventure Animation Comedy Family Fantasy,Nathan Lane,stuart little ,Melanie Griffith
Neill Blomkamp,Sharlto Copley,Action Drama Sci-Fi Thriller,Matt Damon,elysiu,Alice Braga
David Twohy,Alexa Davalos,Action Adventure Sci-Fi Thriller,Vin Diesel,the chronicles of riddic,Christina Cox
José Padilha,Abbie Cornish,Action Crime Sci-Fi Thriller,Gary Oldman,roboco,Jennifer Ehle
Lana Wachowski,Kick Gurry,Action Family Sport,Scott Porter,speed race,Nicholas Elia
James L. Brooks,Domenick Lombardozzi,Comedy Drama Romance,Shelley Conn,how do you kno,Teyonah Parris
James Mangold,Marc Blucas,Action Comedy Romance,Tom Cruise,knight and da,Jordi Mollà
Joseph Kosinski,Tom Cruise,Action Adventure Mystery Sci-Fi,Morgan Freeman,oblivio,Zoë Bell
George Lucas,Christopher Lee,Action Adventure Fantasy Sci-Fi,Natalie Portman,star wars: episode iii - revenge of the sit,Hayden Christensen
George Lucas,Christopher Lee,Action Adventure Fantasy Sci-Fi,Natalie Portman,star wars: episode ii - attack of the clone,Hayden Christensen
Pete Docter,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Steve Buscemi,"monsters, inc",James Coburn
James Mangold,Tao Okamoto,Action Adventure Sci-Fi Thriller,Hugh Jackman,the wolverin,Rila Fukushima
George Lucas,Liam Neeson,Action Adventure Fantasy Sci-Fi,Natalie Portman,star wars: episode i - the phantom menac,Ian McDiarmid
Kirk De Micco,Emma Stone,Adventure Animation Comedy Family Fantasy,Ryan Reynolds,the crood,Nicolas Cage
Frédéric Forestier,Santiago Segura,Adventure Comedy Family Fantasy,Alain Delon,asterix at the olympic game,Vanessa Hessler
John Woo,Roger Willie,Action Drama War,Nicolas Cage,windtalker,Noah Emmerich
Cedric Nicolas-Troyan,Sam Claflin,Action Adventure Drama Fantasy,Chris Hemsworth,the huntsman: winter's wa,Charlize Theron
