,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name
95,James Gunn,Vin Diesel,Action Adventure Sci-Fi,Bradley Cooper,guardians of the galax,Djimon Hounsou
96,Christopher Nolan,Anne Hathaway,Adventure Drama Sci-Fi,Matthew McConaughey,interstella,Mackenzie Foy
97,Christopher Nolan,Tom Hardy,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,inceptio,Joseph Gordon-Levitt
98,Hideaki Anno,Shin'ya Tsukamoto,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,godzilla resurgenc,Atsuko Maeda
99,Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: an unexpected journe,James Nesbitt
100,Rob Cohen,Vin Diesel,Action Crime Thriller,Paul Walker,the fast and the furiou,Jordana Brewster
101,David Fincher,Jason Flemyng,Drama Fantasy Romance,Brad Pitt,the curious case of benjamin butto,Julia Ormond
102,Matthew Vaughn,Michael Fassbender,Action Adventure Sci-Fi,Jennifer Lawrence,x-men: first clas,Oliver Platt
103,Francis Lawrence,Philip Seymour Hoffman,Adventure Sci-Fi,Jennifer Lawrence,the hunger games: mockingjay - part ,Josh Hutcherson
104,Jon Turteltaub,Omar Benson Miller,Action Adventure Family Fantasy,Nicolas Cage,the sorcerer's apprentic,Robert Capron
105,Wolfgang Petersen,Mike Vogel,Action Adventure Drama Thriller,Jimmy Bennett,poseido,Andre Braugher
106,James Bobin,Alan Rickman,Adventure Family Fantasy,Johnny Depp,alice through the looking glas,Anne Hathaway
107,Chris Miller,Eric Idle,Adventure Animation Comedy Family Fantasy,Justin Timberlake,shrek the thir,Rupert Everett
108,Duncan Jones,Callum Rennie,Action Adventure Fantasy,Dominic Cooper,warcraf,Ruth Negga
109,Alan Taylor,Emilia Clarke,Action Adventure Sci-Fi,J.K. Simmons,terminator genisy,Matt Smith
110,Michael Apted,Shane Rangi,Adventure Family Fantasy,Bruce Spence,the chronicles of narnia: the voyage of the dawn treade,Laura Brent
111,Michael Bay,Jaime King,Action Drama History Romance War,Jennifer Garner,pearl harbo,Mako
112,Michael Bay,Michael O'Neill,Action Adventure Sci-Fi,Zack Ward,transformer,Kevin Dunn
113,Oliver Stone,Angelina Jolie Pitt,Action Adventure Biography Drama History Romance War,Anthony Hopkins,alexande,Brian Blessed
114,David Yates,Daniel Radcliffe,Adventure Family Fantasy Mystery,Robert Pattinson,harry potter and the order of the phoeni,Fiona Shaw
115,Mike Newell,Daniel Radcliffe,Adventure Family Fantasy Mystery,Robert Pattinson,harry potter and the goblet of fir,Rupert Grint
116,Peter Berg,Charlize Theron,Action Drama,Will Smith,hancoc,Eddie Marsan
117,Francis Lawrence,Alice Braga,Drama Horror Sci-Fi,Will Smith,i am legen,Willow Smith
118,Tim Burton,Christopher Lee,Adventure Comedy Family Fantasy,Johnny Depp,charlie and the chocolate factor,David Kelly
119,Brad Bird,John Ratzenberger,Animation Comedy Family Fantasy,Janeane Garofalo,ratatouill,Brian Dennehy
120,Christopher Nolan,Liam Neeson,Action Adventure,Christian Bale,batman begin,Morgan Freeman
121,Eric Darnell,Jada Pinkett Smith,Action Adventure Animation Comedy Family,Bernie Mac,madagascar: escape 2 afric,Cedric the Entertainer
122,Shawn Levy,Rami Malek,Adventure Comedy Family Fantasy,Robin Williams,night at the museum: battle of the smithsonia,Steve Coogan
123,Gavin Hood,Ryan Reynolds,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,x-men origins: wolverin,Dominic Monaghan
124,Lana Wachowski,Collin Chou,Action Sci-Fi,Essie Davis,the matrix revolution,Nona Gaye
125,Chris Buck,Maurice LaMarche,Adventure Animation Comedy Family Fantasy Musical,Josh Gad,froze,Livvy Stubenrauch
126,Lana Wachowski,Daniel Bernhardt,Action Sci-Fi,Steve Bastoni,the matrix reloade,Helmut Bakaitis
127,Alan Taylor,Natalie Portman,Action Adventure Fantasy,Chris Hemsworth,thor: the dark worl,Anthony Hopkins
128,George Miller,Charlize Theron,Action Adventure Sci-Fi Thriller,Tom Hardy,mad max: fury roa,Zoë Kravitz
129,Ron Howard,Ayelet Zurer,Mystery Thriller,Tom Hanks,angels & demon,Armin Mueller-Stahl
130,Kenneth Branagh,Natalie Portman,Action Adventure Fantasy,Chris Hemsworth,tho,Anthony Hopkins
131,Byron Howard,Diedrich Bader,Adventure Animation Comedy Drama Family,Chloë Grace Moretz,bol,James Lipton
132,Hoyt Yeatman,Piper Mackenzie Harris,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner,g-forc,Niecy Nash
133,Jonathan Liebesman,Edgar Ramírez,Action Adventure Fantasy,Liam Neeson,wrath of the titan,Lily James
134,Tim Burton,Chloë Grace Moretz,Comedy Fantasy Horror,Johnny Depp,dark shadow,Christopher Lee
135,Christopher McQuarrie,Jeremy Renner,Action Adventure Thriller,Tom Cruise,mission: impossible - rogue natio,Sean Harris
136,Joe Johnston,Simon Merrells,Drama Fantasy Horror Thriller,Anthony Hopkins,the wolfma,Art Malik
137,David Yates,Alexander Skarsgård,Action Adventure Drama Romance,Christoph Waltz,the legend of tarza,Casper Crump
138,Steve Hickner,Oprah Winfrey,Adventure Animation Comedy Family,Matthew Broderick,bee movi,Rip Torn
139,Jennifer Yuh Nelson,Gary Oldman,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,kung fu panda ,Mike Bell
140,M. Night Shyamalan,Noah Ringer,Action Adventure Family Fantasy,Seychelle Gabriel,the last airbende,Aasif Mandvi
141,J.J. Abrams,Tom Cruise,Action Adventure Thriller,Philip Seymour Hoffman,mission: impossible ii,Eddie Marsan
142,Roland Emmerich,Jake Weber,Action Drama Thriller,Channing Tatum,white house dow,Matt Craven
143,Simon Wells,Dan Fogler,Action Adventure Animation Comedy Family Sci-Fi,Elisabeth Harnois,mars needs mom,Tom Everett Scott
144,David Bowers,Kate Winslet,Adventure Animation Comedy Family,Hugh Jackman,flushed awa,David Suchet
145,Joe Wright,Cara Delevingne,Adventure Family Fantasy,Hugh Jackman,pa,Nonso Anozie
146,Rob Minkoff,Zach Callison,Adventure Animation Comedy Family Sci-Fi,Ty Burrell,mr. peabody & sherma,Karan Brar
147,Wolfgang Petersen,Orlando Bloom,Adventure,Brad Pitt,tro,Julian Glover
148,Eric Darnell,Martin Short,Adventure Animation Comedy Family,Jada Pinkett Smith,madagascar 3: europe's most wante,Cedric the Entertainer
149,Lee Tamahori,Colin Salmon,Action Adventure Thriller,Toby Stephens,die another da,Rick Yune
150,Paul Feig,Kate McKinnon,Action Comedy Fantasy Sci-Fi,Ed Begley Jr.,ghostbuster,Zach Woods
151,Michael Bay,Steve Buscemi,Action Adventure Sci-Fi Thriller,Bruce Willis,armageddo,Will Patton
152,Barry Sonnenfeld,Rosario Dawson,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,Will Smith,men in black i,Rip Torn
153,Robert Zemeckis,Anthony Hopkins,Action Adventure Animation Fantasy,Robin Wright,beowul,Sebastian Roché
154,Alessandro Carloni,Angelina Jolie Pitt,Action Adventure Animation Comedy Family,J.K. Simmons,kung fu panda ,Wayne Knight
155,Brad Bird,Jeremy Renner,Action Adventure Thriller,Tom Cruise,mission: impossible - ghost protoco,Michael Nyqvist
156,Peter Ramsey,Kamil McFadden,Adventure Animation Family Fantasy,Hugh Jackman,rise of the guardian,Khamani Griffin
157,Dean Parisot,Richard Burgi,Comedy Crime,John Michael Higgins,fun with dick and jan,David Herman
158,Edward Zwick,Tony Goldwyn,Action Drama History War,Tom Cruise,the last samura,Chad Lindberg
159,Ridley Scott,María Valverde,Action Adventure Drama,Christian Bale,exodus: gods and king,Ben Mendelsohn
160,J.J. Abrams,Leonard Nimoy,Action Adventure Sci-Fi,Chris Hemsworth,star tre,Bruce Greenwood
161,Sam Raimi,James Franco,Action Adventure Fantasy Romance,J.K. Simmons,spider-ma,Kirsten Dunst
162,Dean DeBlois,Djimon Hounsou,Action Adventure Animation Comedy Family Fantasy,Gerard Butler,how to train your dragon ,America Ferrera
163,Alex Proyas,Elodie Yung,Action Adventure Fantasy,Gerard Butler,gods of egyp,Bryan Brown
164,Rob Cohen,Joe Morton,Action Adventure Sci-Fi Thriller,Sam Shepard,stealt,Richard Roxburgh
165,Zack Snyder,Billy Crudup,Action Drama Mystery Sci-Fi,Matt Frewer,watchme,Stephen McHattie
166,Richard Donner,Rene Russo,Action Crime Thriller,Jet Li,lethal weapon ,Darlene Love
167,Ang Lee,Regi Davis,Action Sci-Fi,Kevin Rankin,hul,Celia Weston
168,Jon M. Chu,Dwayne Johnson,Action Adventure Sci-Fi Thriller,Channing Tatum,g.i. joe: retaliatio,Elodie Yung
169,Breck Eisner,Rainn Wilson,Action Adventure Comedy Thriller,Matthew McConaughey,sahar,Delroy Lindo
170,Hironobu Sakaguchi,Ming-Na Wen,Action Adventure Animation Fantasy Romance Sci-Fi,Steve Buscemi,final fantasy: the spirits withi,Jean Simmons
171,Joe Johnston,Dominic Cooper,Action Adventure Sci-Fi,Chris Evans,captain america: the first avenge,Hayley Atwell
172,Michael Apted,Maria Grazia Cucinotta,Action Adventure Thriller,Colin Salmon,the world is not enoug,Desmond Llewelyn
173,Peter Weir,Lee Ingleby,Action Adventure Drama History War,James D'Arcy,master and commander: the far side of the worl,David Threlfall
174,Bill Condon,Kristen Stewart,Adventure Drama Fantasy Romance,Robert Pattinson,the twilight saga: breaking dawn - part ,Taylor Lautner
175,George Miller,Brad Pitt,Animation Comedy Family Musical,Robin Williams,happy feet ,Common
176,Louis Leterrier,Peter Mensah,Action Adventure Sci-Fi,Ty Burrell,the incredible hul,William Hurt
177,,Philip Michael Thomas,Action Crime Drama Mystery Thriller,Don Johnson,miami vice           ,John Diehl
178,Steven Spielberg,Penelope Wilton,Adventure Family Fantasy,Mark Rylance,the bf,Rafe Spall
179,Alejandro G. Iñárritu,Tom Hardy,Adventure Drama Thriller Western,Leonardo DiCaprio,the revenan,Lukas Haas
180,David Soren,Snoop Dogg,Adventure Animation Comedy Family Sport,Ryan Reynolds,turb,Ben Schwartz
181,Gore Verbinski,Ray Winstone,Adventure Animation Comedy Family Western,Johnny Depp,rang,Stephen Root
182,Eric Darnell,Annet Mahendru,Adventure Animation Comedy Family,Benedict Cumberbatch,penguins of madagasca,Andy Richter
183,Paul Greengrass,Edgar Ramírez,Action Mystery Thriller,Matt Damon,the bourne ultimatu,Albert Finney
184,Mark Osborne,Wayne Knight,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,kung fu pand,Dan Fogler
185,Peyton Reed,Hayley Atwell,Action Adventure Comedy Sci-Fi,Judy Greer,ant-ma,T.I.
186,Francis Lawrence,Josh Hutcherson,Adventure Sci-Fi Thriller,Jennifer Lawrence,the hunger games: catching fir,Sandra Ellis Lafferty
187,Bill Condon,Kristen Stewart,Adventure Drama Fantasy Romance,Robert Pattinson,the twilight saga: breaking dawn - part ,Taylor Lautner
188,Tim Johnson,Matt Jones,Adventure Animation Comedy Family Fantasy Sci-Fi,Jim Parsons,hom,April Winchell
189,Steven Spielberg,Lisa Ann Walter,Adventure Sci-Fi Thriller,Tom Cruise,war of the world,Rick Gonzalez
190,Michael Bay,Henry Rollins,Action Comedy Crime Thriller,Will Smith,bad boys i,Jordi Mollà
191,Chris Miller,Constance Marie,Action Adventure Animation Comedy Family Fantasy,Salma Hayek,puss in boot,Amy Sedaris
192,Phillip Noyce,Andre Braugher,Action Crime Mystery Thriller,Angelina Jolie Pitt,sal,August Diehl
193,Darren Aronofsky,Emma Watson,Action Adventure Drama,Anthony Hopkins,noa,Logan Lerman
194,Steven Spielberg,Mackenzie Crook,Action Adventure Family Mystery,Toby Jones,the adventures of tinti,Tony Curran
195,Alfonso Cuarón,Gary Oldman,Adventure Family Fantasy Mystery,Daniel Radcliffe,harry potter and the prisoner of azkaba,Rupert Grint
196,Baz Luhrmann,Bryan Brown,Adventure Drama Romance War,Essie Davis,australi,Eddie Baroo
197,M. Night Shyamalan,Zoë Kravitz,Action Adventure Sci-Fi,Will Smith,after eart,Glenn Morshower
198,Eric Leighton,D.B. Sweeney,Adventure Animation Family Thriller,Alfre Woodard,dinosau,Della Reese
199,Matt Birch,Dave Legeno,Action Fantasy,Rupert Grint,harry potter and the deathly hallows: part i,Ralph Ineson
200,Shawn Levy,Rami Malek,Adventure Comedy Family Fantasy,Robin Williams,night at the museum: secret of the tom,Steve Coogan
201,Tom McGrath,Brad Pitt,Action Animation Comedy Family Sci-Fi,J.K. Simmons,megamin,Will Ferrell
202,Chris Columbus,Fiona Shaw,Adventure Family Fantasy,Daniel Radcliffe,harry potter and the sorcerer's ston,Verne Troyer
203,Robert Schwentke,Jeff Bridges,Action Comedy Fantasy,Ryan Reynolds,r.i.p.d,Stephanie Szostak
204,Hideaki Anno,Shin'ya Tsukamoto,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,godzilla resurgenc,Atsuko Maeda
205,Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: the curse of the black pear,Jack Davenport
206,Matt Birch,Toby Jones,Fantasy,Rupert Grint,harry potter and the deathly hallows: part ,Alfred Enoch
207,Francis Lawrence,Philip Seymour Hoffman,Adventure Sci-Fi Thriller,Jennifer Lawrence,the hunger games: mockingjay - part ,Josh Hutcherson
208,Ron Howard,Seth Gabel,Mystery Thriller,Tom Hanks,the da vinci cod,Jürgen Prochnow
209,Carlos Saldanha,Rachel Crow,Adventure Animation Comedy Family Musical,Miguel Ferrer,rio ,Jeffrey Garcia
210,Bryan Singer,Bruce Davison,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,x-men ,Aaron Stanford
211,Justin Lin,Vin Diesel,Action Crime Thriller,Paul Walker,fast fiv,Dwayne Johnson
212,Guy Ritchie,Eddie Marsan,Action Adventure Crime Mystery Thriller,Robert Downey Jr.,sherlock holmes: a game of shadow,Paul Anderson
213,Louis Leterrier,Jason Flemyng,Action Adventure Fantasy,Liam Neeson,clash of the titan,Alexa Davalos
214,Paul Verhoeven,Rachel Ticotin,Action Sci-Fi,Ronny Cox,total recal,Marshall Bell
215,John McTiernan,Vladimir Kulich,Action Adventure History,Tony Curran,the 13th warrio,Clive Russell
216,Tony Gilroy,Scott Glenn,Action Adventure Thriller,Jeremy Renner,the bourne legac,Stacy Keach
217,Joel Schumacher,Vivica A. Fox,Action,Michael Gough,batman & robi,John Glover
218,Ron Howard,T.J. Thyne,Comedy Family Fantasy,Clint Howard,how the grinch stole christma,Molly Shannon
219,Roland Emmerich,Dennis Quaid,Action Adventure Sci-Fi Thriller,Jake Gyllenhaal,the day after tomorro,Sela Ward
220,John Woo,Dougray Scott,Action Adventure Thriller,Tom Cruise,mission: impossible i,Richard Roxburgh
221,Wolfgang Petersen,Mary Elizabeth Mastrantonio,Action Adventure Drama Thriller,Karen Allen,the perfect stor,Bob Gunton
222,Tim Story,Ioan Gruffudd,Action Adventure Sci-Fi Thriller,Chris Evans,fantastic 4: rise of the silver surfe,Andre Braugher
223,Ang Lee,Rafe Spall,Adventure Drama Fantasy,Suraj Sharma,life of p,Tabu
224,Mark Steven Johnson,Matt Long,Action Fantasy Thriller,Nicolas Cage,ghost ride,Peter Fonda
225,Paul Greengrass,Riz Ahmed,Action Thriller,Matt Damon,jason bourn,Ato Essandoh
226,McG,Bernie Mac,Action Adventure Comedy Crime,Demi Moore,charlie's angels: full throttl,Justin Theroux
227,Ridley Scott,Charlize Theron,Adventure Mystery Sci-Fi,Michael Fassbender,prometheu,Sean Harris
228,Rob Minkoff,Brad Garrett,Adventure Animation Comedy Family Fantasy,Nathan Lane,stuart little ,Melanie Griffith
229,Neill Blomkamp,Sharlto Copley,Action Drama Sci-Fi Thriller,Matt Damon,elysiu,Alice Braga
230,David Twohy,Alexa Davalos,Action Adventure Sci-Fi Thriller,Vin Diesel,the chronicles of riddic,Christina Cox
231,José Padilha,Abbie Cornish,Action Crime Sci-Fi Thriller,Gary Oldman,roboco,Jennifer Ehle
232,Lana Wachowski,Kick Gurry,Action Family Sport,Scott Porter,speed race,Nicholas Elia
233,James L. Brooks,Domenick Lombardozzi,Comedy Drama Romance,Shelley Conn,how do you kno,Teyonah Parris
234,James Mangold,Marc Blucas,Action Comedy Romance,Tom Cruise,knight and da,Jordi Mollà
235,Joseph Kosinski,Tom Cruise,Action Adventure Mystery Sci-Fi,Morgan Freeman,oblivio,Zoë Bell
236,George Lucas,Christopher Lee,Action Adventure Fantasy Sci-Fi,Natalie Portman,star wars: episode iii - revenge of the sit,Hayden Christensen
